Process Stage,IMC Level,IMC Recreation,DIGITAL Agency,Agency
Strategy,Review/Discuss Business Objectives with Stakeholder,C,C/R,"A/R,1"
Strategy,Develop Strategy / Plan,C/A,C/A,"A/R,1"
Strategy,Stakeholder Buy Off,C/A,C/A,"A/R,1"
Strategy,Create Strategy/Campaign V-Team,C/A,C/A,"A/R,1"
Planning,Develop Briefs & Agency Creative,CIB Created,C/A,"A/R,1"
Planning,Brief Agency,C/A,C/A,"A/R,1"
Planning,Review Agency Response,C/A,C/A,"A/R,1"
Planning,Share Response with Business Owner,C/A,C/A,"A/R,1"
Planning,Feedback to Agency on Agency Response,C/A,C/A,"A/R,1"
Planning,Review V2 of Agency Response,C/A,C/A,"A/R,1"
Planning,Approve Agency Response,C/A,C/A,"A/R,1"
Planning,Review/Revise Agency Estimate,C/A,C/A,"A/R,1"
Planning,Approve Estimate and Forecast (Secure IO from Business Owner),C/A,C/A,"A/R,1"
Planning,Review/Revise Measurement & Learning Plan,C/A,C/A,"A/R,1"
Planning,Approve Measurement & Learning Plan,C/A,C/A,"A/R,1"
Planning,Develop Online Objectives & Plan,Document Online Program Objectives,C,"I,A/R,1"
Planning,Document Online Program Assumptions and Risks,C,I,"A/R,1"
Planning,Define Online Stakeholders,C,I,"A/R,1"
Planning,Develop Site Objectives & Plan,"Develop Site Strategy & User Experience (Audience, Personas, Journey/Pathway)",I,"C,A/R,C"
Planning,"Develop Site requirements (browsers, OSes, screen resolution)",I,C,"A/R,C"
Planning,Develop Media Plan,Develop On-Network Reach Strategy (MSCOM Media Plan),C,"C/A,A/R,C"
Planning,Develop Reach Strategy,C/C/A,A/R,C
Planning,Approvals & Sign-Off,Approve Budget Requirements,C,"C,A/R,1"
Execution,Develop site architecture,C,I,"A/R,C"
Execution,Develop wire frames,C,I,"A/R,C"
Execution,Approve site architecture,C,I,"A/R,C"
Execution,Approve wire frames,C,I,"A/R,C"
Execution,"Identify GMP tools (regsys, WWL, etc)",C,I,"A/R,C"
Execution,Develop Creative,"Site/Page Design, Copy, Graphics",C,"C,A/R,C"
Execution,Content Development (online and reach),C,C,"A/R,C"
Execution,Banner Ad Creative and Development,C,C,"A/R,C"
Execution,Prepare and Execute Marketing Activities,Setup Website's Measurement,C,"I,A/R,1"
Execution,Produce / Build Online Experience & Pages,C,I,"A/R,C"
Execution,Implement Online Tracking and Optimization,C,I,"A/R,C"
Execution,"Final Creative Approval, Release to Production",C,I,"A/R,C"
Execution,LCA & Branding Consulting/Approvals,C,I,"A/R,C"
Execution,Quality Assurance/Testing,C,I,"A/R,C"
Execution,Site Launch,C,I,"A/R,C"
Measurement & Analysis,Review Site/s,Generate Reports,C,"I,A/R,1"
Measurement & Analysis,Online Metrics - Track and Report,C,I,"A/R,1"
Measurement & Analysis,In-Market Management,Manage Customer Profile Data,C,"I,A/R,C"
Measurement & Analysis,Monitor and Optimize In-Market Activities - message and offer,C,I,"A/R,C"
Measurement & Analysis,"Web Site Optimization and Updates (changes, new content, updates, etc)",C,C,"A/R,C"
