Interaction Modes,Digital Destinations,Digital Engagements,Digital Advertising,Digital Direct,Social Media,Digital Events,Mobile,Search
Interaction Modes,Websites,"Experiences customers engage with on-demand and, often, anonymously","controlled placement"" digital elements""","Experiences that require some form of customer opt-in and, often, mandate refreshed content",Experiences involving social interaction or sharing between users,Time-boxed digital group interactions,Mobile device-based digital experiences,Search
Digital Tactics,Campaign Landing,Evergreen Site,Display - Static,Click-2-Call / Chat / Email,Social Networking,Live Webcast,Mobile App.,"SEA, SEO"
,Evergreen Site,"Game, Demo",Display - Animated,Blog / Microblog,Crowdsourcing,Virtual Event,SMS / Text,SEO
,Digital Press Site,Software Trial,Display - Rich,Podcast / Vodcast,Wiki & Collaboration Software,Location Based Service,Mobile Code,SEO
,Dark Site,Syndicated / Embeddable Content,Display - In-Stream Video,Widget / Gadget / App,Social Bookmarking,Sponsored Mobile Content,Location Based Service,SEO
,Video,Video,"Text, Audio",Loyalty Rewards Program,Discussion Forum,Virtual World,Social Widget,SEO
,Custom Integration,Custom Integration,Promotional Email,Contest / Sweepstakes,Social World,Social Widget,Promotional Email,SEO
,Roadblock,Roadblock,RSS,Wiki & Collaboration Software,Social World,Social World,Promotional Email,SEO
,Over the Page Unit,Over the Page Unit,Promotional Email,Contest / Sweepstakes,Social World,Social World,Promotional Email,SEO
,Exposure,"Visits, Visitors","Visits, Visitors, Impressions","Impressions, CPM Impressions","Visits, Visitors, Impressions","Visits, Visitors, Impressions","Visits, Visitors, Impressions",Organic Search Average Rank
,Engagement,"Average Time on Site, Site NSAT, End Actions (+ Rate)","Engagements Initiated (+ Rate), Engagements Completed (+ Rate), Shares","Initial Responses (+ Rate), Cost per Initial Response, End Actions (+ Rate), Continued Action Rate","Active Participation (e.g., Participation Instances), Churn Rate, End Actions (+ Rate)","Social Contributions (e.g., Uploads, Comments, etc.), Shares, End Actions (+ Rate)","Events Initiated (+ Rate), Events Completed (+ Rate)","Initial Responses, End Actions, Continued Action Rate"
,Conversion,"Profile Captures (+ Rate), Profile Completion Rate, External Site Sales Referral (+ Rate), Internal Site Sales Referral (+ Rate)","Profile Captures (+ Rate), Profile Completion Rate, External Site Sales Referral (+ Rate), Internal Site Sales Referral (+ Rate)","Profile Captures (+ Rate), Profile Completion Rate, External Site Sales Referral (+ Rate), Internal Site Sales Referral (+ Rate)","Profile Captures (+ Rate), Profile Completion Rate, External Site Sales Referral (+ Rate), Internal Site Sales Referral (+ Rate)","Profile Captures (+ Rate), Profile Completion Rate, External Site Sales Referral (+ Rate), Internal Site Sales Referral (+ Rate)","Profile Captures (+ Rate), Profile Completion Rate, External Site Sales Referral (+ Rate), Internal Site Sales Referral (+ Rate)","Profile Captures, Profile Completion Rate, External Site Sales Referral, Internal Site Sales Referral (+ Rate)"
