Activity,Behavioral Points Earned
Lead 1: Crissy – Active,
Today,Download a sample RFP
Yesterday,Watched a demo
5 days ago,Visited a pricing page
10 days ago,Visited trade show booth
,
Lead 2: Jen – Latent,
Last week,Downloaded a white paper
Last month,Downloaded a white paper
2 months ago,Checked link in email
3 months ago,Checked link in email
3 months ago,Checked link in email
4 months ago,Viewed 5 web pages
4 months ago,Downloaded a white paper
4 months ago,Registered for a webinar
4 months ago,Viewed 4 web pages
5 months ago,Attended a webinar
6 months ago,Registered for a webinar
,
