Active and Latent,Active and Latent,Active and Latent
Lead 1: Crissy-Active,Activity,Behavioral Points Earned
Today,Download a sample RFp,10
Yesterday,Watched a demo,12
5daysago,Visited a pricing page,10
10 days ago,Visited trade show booth,4
Lead 2:Jen-Latent,,36
Lastweek,Downloaded a white paper,
Last month,Downloaded a white paper,3
2monthsago,Checkedlink in email,
3monthsago,Checked link in email,
3 monthsago,Checked link in email,
3months ago,Viewed 5 web pages,
4monthsago,Downloaded a white paper,
4 months ago,Registered for a webinar,
4months ago,Viewed 4 web pages,
5monthsago,Attended a webinar,8
6monthsago,Registered for a webinar,2
,,36
