Flat,Level1-Digital nteraction Modes,Level 2-DigitalTactics,TacticalObjective,Metric,Metric Definition,DataSource,Metric Type Calculation,Metric Type Calculation,Data Type,,
Flat,Level1-Digital nteraction Modes,Level 2-DigitalTactics,TacticalObjective,Metric,Metric Definition,DataSource,Metric Type Calculation,Metric Type Calculation,Data Type,Decim,
Flat,Level1-Digital nteraction Modes,Level 2-DigitalTactics,TacticalObjective,Metric,Metric Definition,DataSource,Metric Type Calculation,Metric Type Calculation,Data Type,Decim,Decim
1,Digital Destinations,Campaign Landing,Exposure,visits,Teotnuberoflsiteitsduringvpeiod,Netinsights,Input,n/a,Numeric,。,
2,Digitel Destinations,Campaign Landing,Exposure,Visitors,Thetotolnumberof Unique Visitors during the time period Dote Range)being analyzed,Netimsighes,inpur,n/,Numeric,。,
3,Digital Destinations,Campaign Landing,Engagement,Average Visit Duration,Thevegeengthoftimeinsecondsinsessio,Netinsights,Input,n/,Time(M:Ss),。,
4,Digital Destinations,Campaign Landing,Engagement Eng Actions,Engagement Eng Actions,4countofthenumberoftimepedefinedendctinispefed bycustomers or prospects.An End Actionison oction ogainst which mediond creatives re optimied,DoubeClick,Input,n/a,Numeric,0,
5,Oigite Destinations,Campaign Landing,Engagement,Destintion EndAction ote,A count ofend ctionswith ossocted sitevsits)dved y th otumer ofsite visits,Caicuiation,Caic,End Actions/Visits,Ratio,1,
6,Dgital Destinations,Campaign Landing,Conversion,Profie Copture,A count ofrole copture tot chpre-fied ompetion poitegthank you poge),DoueeClick,Input,n/,Numeric,。,
7,Digital Destinations,Campaign Landing,Conversian,Destintin Profi Capture Rte,Acount of profie opturewieh ssoeited sitevisitsdided y site visies,Caieufation,Caic,Profile Captures/Visits,Ratio,1,
8,Digital Destinations,Campaign Landing,Conversion,Pre Competion ote,Acountofproficaptuedveycontofprfiesiied,Caicuiation,Cave,Profile Captures/ProfileInitiations,Ratio,：,
9,Digital Destinations,Campaign Landing,Conversian,Exte Soles Referas,Acount of saiesreferras generted for etem soes entiies.,Netinsighes,Ingut,n/a,Numeric,0,
10,Digital Destinations,Campaign Lsnding,Conversion,Destinaton External Soles ReferaRote,Acount ofxternal sales referos(with associoted site visits)generatedidedby thetotiumberof sitevisits,Caicuiation,Caic,Eternal SalesRefenals/Visits,Ratio,1,
I,Dlgital Destinations,Campaign Landing,Conversion,Sales Referols,Acountoeeesgeetedfotesletes,Netinsights,Ingput,n/a,Numeric,0,
12,Digital Destinations,Campeign Landing,Conversion,Destinton ntemal Saes RefeFote,Acount one es efraswith ssocted site visitgentedded r site,Caiculation,Caic,InternalSalesRe/Visits,Reto,,
