Performance Measures （n=276-766),Outstanding(8-9),Poor(1-4)
Quality of German translations,60%,5%
Qualityof informationprovidedin German,54%,7%
Usefulness of Information,53%,5%
Accuracy of Information,51%,7%
Topics Covered,50%,5%
Availability of information provided inGerman,48%,9%
Depth of Information,46%,7%
Loading speed compared to other sites,56%,5%
Overall appearance,51%,5%
Organization of information,41%,9%
Abilityto easily find information,34%,16%
Amount of time ittook to findinformation,33%,16%
Sitenavigation,50%,8%
Search on the site,45%,11%
