,Callto Action,Callto Action,#ofcampaigns,IRR,Notes:,
,C-Suite Audience,C-Suite Audience,C-Suite Audience,C-Suite Audience,C-Suite Audience,
,Free Event 57 1.95%,Free Event 57 1.95%,Free Event 57 1.95%,Free Event 57 1.95%,ITprosrespond3xhigher tothis valuepropositionthan do BDM,
,Product Offer,Product Offer,17,3.86%,And thiscall toaction is2xbetterfor thisaudience......why areweusing Events 3xmore?,
,Product Offer,Product Offer,17,3.86%,And thiscall toaction is2xbetterfor thisaudience......why areweusing Events 3xmore?,
,Product Offer,Product Offer,17,,And thiscall toaction is2xbetterfor thisaudience......why areweusing Events 3xmore?,
,Product Offer,Product Offer,,,And thiscall toaction is2xbetterfor thisaudience......why areweusing Events 3xmore?,
,IT Pro Audience,IT Pro Audience,IT Pro Audience,IT Pro Audience,IT Pro Audience,
,FreeEvent,FreeEvent,36,6.09%,6xmore offers were driven withthis CTAbut...,
TrialCD/ 6Download,TrialCD/ 6Download,TrialCD/ 6Download,TrialCD/ 6Download,6.09%,6xmore offers were driven withthis CTAbut...,
TrialCD/ 6Download,TrialCD/ 6Download,TrialCD/ 6Download,TrialCD/ 6Download,13.38%,...over2x better IRR occurred withtrialsoffers,
TrialCD/ 6Download,TrialCD/ 6Download,TrialCD/ 6Download,TrialCD/ 6Download,,...over2x better IRR occurred withtrialsoffers,
