Interaction Modes,,Digital Destinations,Digital Advertising
,Websites,Controlled Placement digital elements,
,Campaign Landing,"Display - Static,",
,Evergreen Site,"Display - Animated,",
,Social Media Newsroom,"Display - Rich,",
,Dark Site,"In-Stream Video,",
,,"Text,",
,,"Audio,",
,,"Custom Integration,",
,,"Roadblock,",
,,Over The Page (OTP),
Digital Tactics,Visits,"Impressions,",
,Visitors,Effective CPM,
,Average Time on Site,"Initial Responses (+ Rate),",
,NSAT,"Bounce Rate,",
,Bounce Rate,"Success Events (+ Rate),",
,Success Events (+ Rate),"End Actions (+ Rate),",
,End Actions (+ Rate),"Cost per End Action,",
,Cost per End Action,Continued Action Rate,
Tactic Metrics,Profile Captures (+ Rate),"Profile Captures (+ Rate),",
,Profile Completion Rate,"Profile Completion Rate,",
,External Sales Referral (+ Rate),"External Sales Referral (+ Rate),",
,Internal Sales Referral (+ Rate),Internal Sales Referral (+ Rate),
