,"Blogs,Spaces,& Forums",Answers/QnA/ Interactive Support Communities,(Facebook MySpace etc),"Sharing,& AegregationSites",User-Uploaded Video Sites
Outreachand Engagement Activity Driven,131,91,130,522,60
"Estimated ""Brand Engagement Impressions""",44239,1080,77553,2150,"761,734"
Costs,Costs,Costs,Costs,Costs,Costs
Engagement Programs Cost per Channel,"$17,500","$5,000","$7,500","$5,000","$20,000"
"Cost per ""Brand Engagement Impress",$0.40,$4.03,$010,$2.33,$0.03
Value,Value,Value,Value,Value,Value
"Additional Value Weightingof Engagement,forChannel",2.168,1.6,1.56,1.28,4.08
Alternative Brand lmpression Cost Basis,$2.25,$1.75,S0.04,$2.00,$0.16
Alternative Brand Impression CostSource,Avgof DisplayAd& Customer-Initiated,,App and Media based FacebookProgram,SEM/odsense Click,Avg of Television Ad and Paid OnliView Cost
SEM Click CS Event,SEM Click CS Event,SEM Click CS Event,SEM Click CS Event,SEM Click CS Event,SEM Click CS Event
Valueof Engagement Events,,,,,
"Value per""Branded Engagement Impressions""","5215,796 $4.88","53,023 52.80","$5,224 $0.07","$5,504 52.56","$508,143 $0.67"
ROI,1133%,-40%,-30%,10%,2441%
