TASK,LEAD,ASSISTANT,OWNERSHIP
Analytics Consulting with Marketers,"Online campaign analytics (capabilities, costs, etc)",90%,"10%,Lead"
Analytics Consulting with Marketers,"Development of online metrics, KPI and scorecards",60%,"40%,Lead"
Analytics Consulting with Marketers,Page and site optimization,75%,"25%,Lead"
Unica Implementations,Requirements gathering from internal stakeholders,90%,"10%,Lead"
Unica Implementations,Transform of requirements into specifications and job request,90%,"10%,Lead"
Unica Implementations,Submission of job to Unica and follow-up (as applicable),90%,"10%,Lead"
Unica Implementations,Unica site or local admin set-up (as applicable),90%,"10%,Lead"
Unica Implementations,"Testing of new/edited Profile, Custom Report or other feature",25%,"75%,Assistant"
Unica Implementations,"Sign-off of new/edited Profile, Custom Report or other feature",100%,"0%,Lead"
Reporting & Analysis,Ad hoc reporting by request,25%,"75%,Assistant"
Reporting & Analysis,Ad hoc analysis,40%,"60%,Assistant"
Reporting & Analysis,Weekly Homepage Scorecard,10%,"90%,Assistant"
Reporting & Analysis,Monthly Homepage Scorecard,10%,"90%,Assistant"
Reporting & Analysis,Quarterly Site Scorecard,10%,"90%,Assistant"
Reporting & Analysis,Scorecard automation (as applicable),30%,"70%,Assistant"
Reporting & Analysis,Campaign review (on request),50%,"50%,Lead/Assistant"
Reporting & Analysis,Site review (on request),50%,"50%,Lead/Assistant"
Unica Training & Support,Basic Unica training of internal stakeholders,10%,"90%,Assistant"
Unica Training & Support,Advanced Unica/analytics training of internal stakeholders,60%,"40%,Lead"
Unica Training & Support,Provision of written training materials (whether sourced or internally developed),25%,"75%,Assistant"
Unica Training & Support,Basic Unica support to end users,40%,"60%,Assistant"
Unica Training & Support,Logging of Unica bugs with Unica / CIO Office and follow-up,25%,"75%,Assistant"
Program Management & Administration,Definition and management of services,75%,"25%,Lead"
Program Management & Administration,Definition and management of processes,75%,"25%,Lead"
Program Management & Administration/Internal marketing of program,75%,25%,Lead
Program Management & Administration/Analytics gap analysis and resolution management,90%,10%,Lead
Program Management & Administration/Internal Unica billing support,10%,90%,Assistant
Program Management & Administration/Unica SR tracking,40%,60%,Assistant
Program Management & Administration/Budgeting,100%,0%,Lead
Program Management & Administration/Analytics vendor management,90%,0%,Lead
Program Management & Administration/Lead Training Manual,100%,0%,Lead
Program Management & Administration/Assistant Training Manual,0%,100%,Assistant
Miscellaneous,Special Co-up Tasks/Special Projects,0%,"100%,Assistant"
