Lead Source,Total Leads,Prospects,Leads,Has Opty,Total Opty Amount,Won,Total Won Amount
Trade Show,"2,487",548,278,76,"407,848.75",10,"60,048.00"
Sponsorship,"2,269",344,96,18,"106,000.00",6,"56,520.00"
Online Ad,"1,783",747,382,62,"531,520.33",23,"135,032.33"
Website,"1,689",967,789,189,"1,136,211.45",67,"471,455.08"
PPC,795,256,162,30,"137,351.00",9,"68,076.00"
Employee Referral,638,73,40,18,"161,060.00",2,"15,000.00"
List Purchase,500,40,4,1,"1,475.00",0,0.00
Sales Outbound,344,109,74,18,"132,236.50",2,"12,350.00"
AppExchange,281,182,147,45,"258,978.75",24,"167,474.00"
Content Syndication,270,84,29,0,0.00,0,0.00
Partner,268,123,48,27,"208,414.75",4,"38,300.00"
Blog,227,121,66,8,"16,800.00",3,"12,000.00"
Google AdWords,165,65,42,2,"8,340.00",1,"1,500.00"
Inbound Call,57,48,40,28,"129,650.00",7,"46,310.00"
Web Referral,44,26,21,2,"7,450.00",0,0.00
Customer referral / WOM,39,28,19,12,"51,905.75",4,"30,250.50"
Web Direct,37,20,18,1,0.00,0,0.00
Organic - Google,24,15,15,1,0.00,0,0.00
Organic - Yahoo,2,2,2,0,0.00,0,0.00
Total:,"11,919","3,876","2,292",538,"3,295,240.28",162,"1,114,315.91"
