Oct-10 Nov-10 %Change Target(+/-)PRIMARY WEBSITE KPIs,Oct-10 Nov-10 %Change Target(+/-)PRIMARY WEBSITE KPIs,Oct-10 Nov-10 %Change Target(+/-)PRIMARY WEBSITE KPIs,Oct-10 Nov-10 %Change Target(+/-)PRIMARY WEBSITE KPIs,Oct-10 Nov-10 %Change Target(+/-)PRIMARY WEBSITE KPIs,Oct-10 Nov-10 %Change Target(+/-)PRIMARY WEBSITE KPIs,Oct-10 Nov-10 %Change Target(+/-)PRIMARY WEBSITE KPIs,,,,,
Oct-10 Nov-10 %Change Target(+/-)PRIMARY WEBSITE KPIs,Oct-10 Nov-10 %Change Target(+/-)PRIMARY WEBSITE KPIs,Oct-10 Nov-10 %Change Target(+/-)PRIMARY WEBSITE KPIs,Oct-10 Nov-10 %Change Target(+/-)PRIMARY WEBSITE KPIs,Oct-10 Nov-10 %Change Target(+/-)PRIMARY WEBSITE KPIs,Oct-10 Nov-10 %Change Target(+/-)PRIMARY WEBSITE KPIs,Oct-10 Nov-10 %Change Target(+/-)PRIMARY WEBSITE KPIs,Oct-10,Nov-10,%Change,Target(+/-),Target(+/-)
,Unique Visits,"120,456","135,908",12.8%.,"140,000",97%,,,,,
,SiteVisits,"134,709","144,235",7.1%,"179,158",81%ttt,,,,,
,NewvsReturning Visitors,16.76%,14.53%,-13.3%,19.95%,73%,,,,,
,EngagedVisitors,"74,284","111,586",50.2%,"212,154",53%11218/1,,,,,
,Home Page EngagementRate,42.80%,43.50%,1.6%,45.00%,97%,,,,,
,PageViews,"345,000","365,000",5.8%,"380,000",96%,,,,,
,Page Viewsper Visit,2.50,2.80,12.0%,3.00,93%,,,,,
,Site EngagementRate,12.80%,13.50%,5.5%,14.00%,96%,,,,,
,End Action Engagement Rate,3.06%6,1.97%,-35.6%,3.4496,57%,,,,,
,End Actions,245,175,-28.6%,"1,200040",15%,,,,,
,TimeonSite/Visit Duration,2.80,3.15,12.5%6,$3.10,102%,,,,,
,SEO Health,53,58,9.4%,90,64%,,,,,
