,Email,,Display,PaidSearch,SEO,ATL,Social Media
Media Cost,$977,,"$51,850","$70,618",N/A,"$257,600","$11,025"
Impressions,"100,000",,"1,481,403","2,250,000","2,500,000","11,500,000","845,600"
IRR,4.25%,,0.15%,0.52%,1.50%,0.85%,2.20%
CPIR,$0.35,,$77.80,$1.25,N/A,$21.50,$1.50
Unique Visitors,"4,250",,"2,222","11,700","15,000","97,750","18,603"
Engagement Rate*,16.50%,,12.78%,20.34%,27.20%,14.25%,27.20%
CAR,8.25%,,6.24%,5.63%,9.97%,3.56%,11.13%
End Actions,399,,255,983,840,"2,346","2,100"
End Action ConversionRate,9.4%,,11.5%,8.4%,5.6%,2.4%,11.2%
Cost Per End Action,$2.45,$2.45,$203.33,$71.84,N/A,$109.80,$5.25
