MODEL,RUBY,JAVASCRIPT,GO,PYTHON,JAVA,PHP,MA-AVG
NBow,0.4285,0.4607,0.6409,0.5809,0.5140,0.4835,0.5181
CNN,0.2450,0.3523,0.6274,0.5708,0.5270,0.5294,0.4753
BIRNN,0.0835,0.1530,0.4524,0.3213,0.2865,0.2512,0.2580
SELFATT,0.3651,0.4506,0.6809,0.6922,0.5866,0.6011,0.5628
RoBERTA,0.6245,0.6060,0.8204,0.8087,0.6659,0.6576,0.6972
PT W/ CODE ONLY (INIT=S),0.5712,0.5557,0.7929,0.7855,0.6567,0.6172,0.6632
PT W/ CODE ONLY (INIT=R),0.6612,0.6402,0.8191,0.8438,0.7213,0.6706,0.7260
"CODEBERT(MLM,INIT=S)",0.5695,0.6029,0.8304,0.8261,0.7142,0.6556,0.6998
"CODEBERT (MLM, INIT=R)",0.6898,0.6997,0.8383,0.8647,0.7476,0.6893,0.7549
"CODEBERT (RTD, INIT=R)",0.6414,0.6512,0.8285,0.8263,0.7150,0.6774,0.7233
"CODEBERT (MLM+RTD, INIT=R)",0.6926,0.7059,0.8400,0.8685,0.7484,0.7062,0.7603
