,RUBY,JAVASCRIPT,GO,PYTHON,JAVA,PHP,ALL
NUMBER OF DATAPOINTS FOR PROBING,NUMBER OF DATAPOINTS FOR PROBING,NUMBER OF DATAPOINTS FOR PROBING,NUMBER OF DATAPOINTS FOR PROBING,NUMBER OF DATAPOINTS FOR PROBING,NUMBER OF DATAPOINTS FOR PROBING,NUMBER OF DATAPOINTS FOR PROBING,NUMBER OF DATAPOINTS FOR PROBING
PL (2 CHOICES),38,272,152,"1,264",482,407,"2,615"
NL (4 CHOICES),20,65,159,216,323,73,856
PL PROBING,PL PROBING,PL PROBING,PL PROBING,PL PROBING,PL PROBING,PL PROBING,PL PROBING
ROBERTA,73.68,63.97,72.37,59.18,59.96,69.78,62.45
PRE-TRAIN W/ CODE ONLY,71.05,77.94,89.47,70.41,70.12,82.31,74.11
CODEBERT (MLM),86.84,86.40,90.79,82.20,90.46,88.21,85.66
PL PROBING WITH PRECEDING CONTEXT ONLY,PL PROBING WITH PRECEDING CONTEXT ONLY,PL PROBING WITH PRECEDING CONTEXT ONLY,PL PROBING WITH PRECEDING CONTEXT ONLY,PL PROBING WITH PRECEDING CONTEXT ONLY,PL PROBING WITH PRECEDING CONTEXT ONLY,PL PROBING WITH PRECEDING CONTEXT ONLY,PL PROBING WITH PRECEDING CONTEXT ONLY
ROBERTA,73.68,53.31,51.32,55.14,42.32,52.58,52.24
PRE-TRAIN W/ CODE ONLY,63.16,48.53,61.84,56.25,58.51,58.97,56.71
CODEBERT (MLM),65.79,50.74,59.21,62.03,54.98,59.95,59.12
NL PROBING,NL PROBING,NL PROBING,NL PROBING,NL PROBING,NL PROBING,NL PROBING,NL PROBING
ROBERTA,50.00,72.31,54.72,61.57,61.61,65.75,61.21
PRE-TRAIN W/ CODE ONLY,55.00,67.69,60.38,68.06,65.02,68.49,65.19
CODEBERT (MLM),65.00,89.23,66.67,76.85,73.37,79.45,74.53
