,2011,2012,2013,2014,2015,2016,2017,2018,2019
Opium*,Opium*,Opium*,Opium*,Opium*,Opium*,Opium*,Opium*,Opium*,Opium*
Afghanistan,"4,400","4,300","5,500","6,300","4,100","5,800","9,140","5,330","6,700"
Burma,450,,795,900,,834,,,Inprocess
Colombia,,,,20,24,,,14,
Guatemala,,4,6,14,6,7,5,4,Inprocess
Laos,57,,,,,91,,,
Mexico,250,220,225,360,600,685,944,903,661
Pakistan,,28,220,105,29,52,,,
Potential Pure Heroin,Potential Pure Heroin,,,,,,,,
Afghanistan,510,510,650,740,480,680,"1,070",628,788
Burma,43,,76,85,,79,,,Inprocess
Colombia,,,,3,3,,,2,
Guatemala,,.5,1,2,1,1,1,1,Inprocess
Laos,6,,,,,9,,,
Mexico,30,26,26,42,70,81,111,106,78
Pakistan,,3,26,12,3,6,,,
Total Potential L. AmericaHeroin Production,30,27,27,47,74,82,112,109,Inprocess
Total Potential WorldwideHeroin Production,590,540,780,880,560,856,"1,187",737,Inprocess
Potential Pure Cocaine,,,,,,,,,
Bolivia,213,174,188,236,268,284,246,251,301
Colombia,273,263,279,353,564,775,906,877,936
Peru,385,388,460,409,445,462,481,527,649
Total Potential PureCocaine,871,826,927,998,"1,277","1,521","1,633","1,655","1,886"
Potential Export-Quality Cocaine,Potential Export-Quality Cocaine,Potential Export-Quality Cocaine,Potential Export-Quality Cocaine,Potential Export-Quality Cocaine,Potential Export-Quality Cocaine,Potential Export-Quality Cocaine,Potential Export-Quality Cocaine,Potential Export-Quality Cocaine,Potential Export-Quality Cocaine
Bolivia,243,203,240,316,321,333,285,276,328
Colombia,364,339,366,460,748,993,"1,068",1.020,"1,124"
Peru,461,500,555,506,552,532,533,568,706
Total Potential Export-Quality Cocaine,"1,068","1,042","1,160","1,282","1,621","1,859","1,886","1,864","2,157"
