APEC,Asia-Pacific Economic Cooperation
AFRICOM,U.S. Military Command for Africa
ASEAN,Association of Southeast Asian Nations
ATS,Amphetamine-Type Stimulants
CARICC,Central Asia Regional Information Coordination Center
CARSI,Central America Regional Security Initiative
CBP,U.S. Customs and Border Protection
CBSI,Caribbean Basin Security Initiative
DARE,Drug Abuse Resistance Education
DEA,U.S. Drug Enforcement Administration
DHS,U.S. Department of Homeland Security
DOJ,U.S. Department of Justice
DTO,Drug Trafficking Organization
ECOWAS,Economic Community of West African States
EU,European Union
FBI,Federal Bureau of Investigation
FIU,Financial Intelligence Unit
ICE,U.S. Immigration and Customs Enforcement
ILEA,International Law Enforcement Academy
INCB,International Narcotics Control Board
INCSR,International Narcotics Control Strategy Report
INL,U.S. Department of State’s Bureau of International Narcotics and Law Enforcement Affairs
JIATF-S,Joint Interagency Task Force South
JIATF-W,Joint Interagency Task Force West
MAOC-N,Maritime Analysis and Operations Centre-Narcotics
MLAT,Mutual Legal Assistance Treaty
MOU,Memorandum of Understanding
NIDA,National Institute of Drug Abuse
OAS,Organization of American States
OAS/CICAD,Inter-American Drug Abuse Control Commission
ONDCP,Office of National Drug Control Policy
NPS,New Psychoactive Substances
SELEC,Southeast European Law Enforcement Center
SIU,Special Investigative Unit
SOUTHCOM,"U.S. Military Command for the Caribbean,Central and South America"
TOC,Transnational Organized Crime
UNODC,United Nations Office on Drugs and Crime
UNCAC,United Nations Convention against Corruption
UNTOC,United Nations Convention against Transnational Organized Crime
USAID,U.S. Agency for International Development
