Uzbekistan,$500.00,$,$,$
tsv,,,,
$ in thousands for all items\tFY 2020 653(a)\tFY 2021 Request,,,,
TOTAL\t$ 432,536.00\t$ 441,358.00,,
Africa\t$ 2,300.00\t$ 1,000.00,,
Liberia\t$ 1,300.00\t$,,,
State Africa Regional\t$ 1,000.00\t$ 1,000.00,,
East Asia and Pacific\t$ 3,110.00\t$ 2,000.00,,
Burma\t$ 1,300.00\t$ 500.00,,,
Indonesia\t$ 950.00\t$ 400.00,,,,
Laos\t$ 500.00\t$ 500.00,,,,
Country\tTotal\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t,,,,
Central Asia Regional,"$2,430.00",$,"$2,000.00",$
Western Hemisphere,"$263,229.00",$,"$277,811.00",$
Colombia,"$135,000.00",$,"$199,500.00",$
Mexico,"$52,000.00",$,"$20,000.00",$
Peru,"$37,900.00",$,"$37,900.00",$
State Western Hemisphere Regional (WHA),"$38,329.00",$,"$20,411.00",$
"of which, CARSI","$27,354.00",$,"$18,850.00",$
"of which, CBSI","$10,975.00",$,"$1,561.00",$
INL - International Narcotics and Law Enforcement Affairs,"$119,600.00",$,"$132,547.00",$
of which,CBSI\t$10,975.00\t$1,561.00,
INL - International Narcotics and Law Enforcement Affairs\t$119,600.00\t$132,547.00,,
INL - CFSP,Critical Flight Safety Program\t$18,000.00\t,,
INL - Demand Reduction\t$15,000.00\t$8,000.00,,
INL – Drug Supply Reduction\t$17,000.00\t$12,500.00,,
INL – Global Crime and Drugs Policy\t$4,600.00\t$1,950.00,,
INL - Inter-regional Aviation Support\t$42,000.00\t$28,600.00,,
INL - Program Development and Support\t$18,000.00\t$81,497.00,,
To Be Programmed\t$5,000.00\t,,,
