,2011,2012,2013,2014,2015,2016,2017,2018,2019
Poppy,,,,,,,,,
Afghanistan,"115,000","180,000","198,000","211,000","201,000","207,000","329,000","221,000","160,000"
Burma,"36,500",,"51,000","52,000",,"44,800",,,
Colombia,,,,800,"1,100",,,663,In process
Guatemala,,220,310,640,260,310,232,187,In process
Laos,"4,400",,,,,"4,200",,,
Mexico,"12,000","10,500","11,000","17,000","28,000","32,000","44,100","41,800","30,400"
Pakistan,,755,"4,300",2.800,930,"1,400",,,
Coca,,,,,,,,,
Bolivia,"25,500","25,000","27,000","35,000","36,500","37,500","31,000","32,900","42,200"
Colombia,83.000,78.000,"80,500",112.000,159.000,188.000,"209,000","208,000","212,000"
Peru,"49,500","50,500","59,500","46,500","53,000","44,000","49,800","52,100","72,000"
Total Coca,"158,000","153,500","167,000","193,500","248,500","269,500","289,800","293,000","326,200"
Cannabis,,,,,,,,,
Mexico,12.000,"11,500","13,000","11,000",,"11,500",,,
