Home,,,,SampleMainPage,SampleMainPage,
Objects,Qty,Size*,,Objects,Qty,Size*
HTML,1,"47,025",,HTML,1,"61,754"
CSS,1,"216,561",,CSs,2,"223,373"
Scripts,6,"566,674",,Scripts,14,"734,265"
XML,0,0,,XML,0,0
Images,3,718,,Images,6,"55,820"
CSS Images,37,"390,495",,CSSImages,30,"163,109"
Multimedia,0,0,,Multimedia,0,0
Other,23,"319,000",,Other,26,"326,692"
Total,71,"1,540,473",,Total,79,"1,565,013"
Sample BlogPage,Sample BlogPage,,,Sample Video Page,Sample Video Page,
Objects,Qty,Size*,,Objects,Qty,Size*
HTML,2,"83,347",,HTML,2,"76,595"
CSs,3,"394,972",,CSS,3,"394,972"
Scripts,12,"858,330",,Scripts,12,"858,330"
XML,0,0,,XML,0,0
Images,7,"228,354",,Images,6,"110,525"
CSSImages,36,"305,073",,CSSImages,36,"304,629"
Multimedia,0,0,,Multimedia,0,0
Other,27,"326,692",,Other,27,"326,692"
Total,87,"2,196,768",,Total,86,"2,071,743"
