(in millions),Amortized Cost,Gross Unrealized Gains,Gross Unrealized Losses,,Fair Value
"December 31, 2020",,,,,
Debt securities - available-for-sale:,,$,,,
U.S. government and agency obligations $,"3,335",133,$,(3）$,"3,465"
State and municipal obligations,"6,893",435,,,"7,328"
Corporate obligations,"18,886",863,,(12),"19,737"
U.S.agency mortgage-backed securities,"6,849",245,,(3),"7,091"
Non-U.S. agency mortgage-backed securities,"2,116",95,,(4),"2,207"
Total debt securities -available-for-sale,"38,079","1,771",,(22),"39,828"
Debt securities - held-to-maturity:,,,,,
U.S. government and agency obligations,420,6,,,426
State and municipal obligations,31,,2,,33
Corporate obligations,187,,1,,188
Total debt securities — held-to-maturity,638,,9,,647
Total debt securities,"38,717","1,780",$,(22),"40,475"
"December 31,2019",,,,,
Debt securities- available-for-sale:,,$,,,
U.S. government and agency obligations,"3,502",55,$,(4),"3,553"
State and municipal obligations,"5,680",251,,(5),"5,926"
Corporate obligations,"17,910",343,,(11),"18,242"
U.S.agency mortgage-backed securities,"6,425",109,,(6),"6,528"
Non-U.S.agency mortgage-backed securities,"1,811",37,,(3),"1,845"
Total debt securities — available-for-sale,"35,328",795,,(29),"36,094"
Debt securities - held-to-maturity:,,,,,
U.S. government and agency obligations,402,2,,,404
State and municipal obligations,32,2,,,34
Corporate obligations,538,,,(1),537
Total debt securities - held-to-maturity,972,,4,(1),975
Total debt securities $,"36,300",799,$,(30),"37,069"
