(in thousands, except percentages)   December 31,   2020   2019   2018   Change 2020 vs. 2019
Commercial:   Risk-based   7,910   8,"575   8,495   (665)   (8)%"
Commercial:   Fee-based   18,310   19,"185   18,420   (875)   (5)"
Commercial:   Total commercial   26,220   27,"760   26,915   (1,540)   (6)"
Medicare Advantage   5,710   5,"270   4,945   440   8"
Medicaid   6,620   5,"900   6,450   720   12"
Medicare Supplement (Standardized)   4,460   4,"500   4,545   (40)   (1)"
Public and senior:   Total public and senior   16,790   15,"670   15,940   1,120   7"
UnitedHealthcare — domestic medical:   Total UnitedHealthcare — domestic medical   43,010   43,"430   42,855   (420)   (1)"
Global   5,425   5,"720   6,220   (295)   (5)"
UnitedHealthcare — medical:   Total UnitedHealthcare — medical   48,435   49,"150   49,075   (715)   (1)%"
Medicare Part D stand-alone   4,045   4,"405   4,710   (360)   (8)%"
