"(in millions, except percentages)","For the Years Ended December 31,","For the Years Ended December 31,","For the Years Ended December 31,",Change,Change
"(in millions, except percentages)",2020,2019,2018,2020 vs.2019,
Revenues,,,,,
UnitedHealthcare,"$200,875","$193,842","$183,476","$ 7,033",4%
OptumHealth,"39,808","30,317","24,145","9,491",31
OptumInsight,"10,802","10,006","9,008",796,8
OptumRx,"87,498","74,288","69,536","13,210",18
Optum eliminations,"(1,800)","(1,661)","(1,409)",(139),8
Optum Eliminations,"136,308","112,950 (64,637)","101,280 (58,509)","23,358",21
,"(80,042)",,"$226,247","(15,405)",24
Consolidated revenues,"$257,141","$242,155",,"$14,986",6%
Earnings from operations,,,,,
UnitedHealthcare,"$12,359","$10,326","$ 9,113","$ 2,033",20%
OptumHealth,"3,434","2,963","2,430",471,16
OptumInsight,"2,725 3,887","2,494","2,243",231,9
OptumRx,,"3,902","3,558",(15),
Optum,"10,046","9,359","8,231",687,7
Consolidated earnings from operations,"$22,405","$ 19,685","$ 17,344","$ 2,720",14%
Operating margin,,,,,
UnitedHealthcare,6.2%,5.3%,5.0%,0.9%,
OptumHealth,8.6,9.8,10.1,(1.2),
OptumInsight,25.2,24.9,24.9,0.3,
OptumRx,4.4,5.3,5.1,(0.9),
Optum,7.4,8.3,8.1,(0.9),
Consolidated operating margin,8.7%,8.1%,7.7%,,0.6%
