OptumOptum(in millions) UnitedHealthcare OptumHealth OptumInsight OptumRx EliminationsOptum,OptumOptum(in millions) UnitedHealthcare OptumHealth OptumInsight OptumRx EliminationsOptum,OptumOptum(in millions) UnitedHealthcare OptumHealth OptumInsight OptumRx EliminationsOptum,OptumOptum(in millions) UnitedHealthcare OptumHealth OptumInsight OptumRx EliminationsOptum,OptumOptum(in millions) UnitedHealthcare OptumHealth OptumInsight OptumRx EliminationsOptum,OptumOptum(in millions) UnitedHealthcare OptumHealth OptumInsight OptumRx EliminationsOptum,OptumOptum(in millions) UnitedHealthcare OptumHealth OptumInsight OptumRx EliminationsOptum,OptumOptum(in millions) UnitedHealthcare OptumHealth OptumInsight OptumRx EliminationsOptum,OptumOptum(in millions) UnitedHealthcare OptumHealth OptumInsight OptumRx EliminationsOptum,OptumOptum(in millions) UnitedHealthcare OptumHealth OptumInsight OptumRx EliminationsOptum,OptumOptum(in millions) UnitedHealthcare OptumHealth OptumInsight OptumRx EliminationsOptum,Corporate andEliminations,Corporate andEliminations,Corporate andEliminations,Consolidated,,,,,,,,,,,,
2020Revenues-unaffiliatedcustomers:Premiums .$,2020Revenues-unaffiliatedcustomers:Premiums .$,2020Revenues-unaffiliatedcustomers:Premiums .$,"191,679 $","191,679 $","191,679 $",,,$,$,,,,,,,,,,,,,,,,,
2020Revenues-unaffiliatedcustomers:Premiums .$,2020Revenues-unaffiliatedcustomers:Premiums .$,2020Revenues-unaffiliatedcustomers:Premiums .$,"191,679 $","191,679 $","191,679 $","9,799 $",,$,$,"$ 9,799 $",,,,,"$ 201,47834,145",,,,,,,,,,,
Products,Products,Products,,,,33,135,"33,977",,"34,145",,,,,"$ 201,47834,145",,,,,,,,,,,
Services,Services,Services,8.464,8.464,8.464,6.815,"3,687","1,050",,"11,552",,,,20.016,,,,,,,,,,,,
Total revenues — unafiliatedcustomers....Total revenues —affiliated,Total revenues — unafiliatedcustomers....Total revenues —affiliated,Total revenues — unafiliatedcustomers....Total revenues —affiliated,"200,143","200,143","200,143","16,647","3,822","35,027",,"55,496",,,,"255,639",,,,,,,,,,,,
Total revenues — unafiliatedcustomers....Total revenues —affiliated,Total revenues — unafiliatedcustomers....Total revenues —affiliated,Total revenues — unafiliatedcustomers....Total revenues —affiliated,,,,"22,481","6,941","52,420","(1,800)",80.042,"(80,042)","(80,042)","(80,042)",,,,,,,,,,,,,
customers,customers,customers,,,,"22,481","6,941","52,420","(1,800)",80.042,"(80,042)","(80,042)","(80,042)",,,,,,,,,,,,,
Investment and other income,Investment and other income,Investment and other income,732,732,732,680,39,51,,770,,,,"1,502",,,,,,,,,,,,
Total revenues,Total revenues,Total revenues,"200,875","200,875","200,875","$ 39,808","$ 10,802","87,498","$ (1,800)",$136.308,"$ (80,042)","$ (80,042)","$ (80,042)","$ 257,141",,,,,,,,,,,,
Earnings from operations,Earnings from operations,Earnings from operations,"$ 12,359","$ 12,359","$ 12,359","3,434","$ 2,725","$ 3,887",$,"10,046",,,,$ 22.405,,,,,,,,,,,,
Interest expense........ ：：,Interest expense........ ：：,Interest expense........ ：：,,,,,,,,,"(1,663)","(1,663)","(1,663)","(1,663)",,,,,,,,,,,,
Earnings before income taxes,Earnings before income taxes,Earnings before income taxes,12.359,12.359,12.359,"$ 3,434","$ 2,725","$ 3,887",$,"$10,046","$ (1,663) $","$ (1,663) $","$ (1,663) $","20,742",,,,,,,,,,,,
