"(in millions,except percentages and per share data)","For the Years Ended December 31,","For the Years Ended December 31,","For the Years Ended December 31,",Change,Change
"(in millions,except percentages and per share data)",2020,2019,2018,2020 vs.2019,
Revenues:,,,,,
Premiums,"$201,478","$189,699","$178,087","$11,779",6%
Products,"34,145","31,597","29,601","2,548",8
Services,"20,016","18,973","17,183","1,043",5
Investment and other income,"1,502","1,886","1,376",(384),(20)
Total revenues,"257,141","242,155","226,247","14,986",6
Operating costs:,,,,,
Medical costs,"159,396","156,440","145,403","2,956",2
Operating costs,"41,704","35,193","34,074","6,511",19
Cost of products sold,"30,745","28,117","26,998",2.628,9
Depreciation and amortization,"2,891","2,720","2,428",171,6
Total operating costs,"234,736","222,470","208,903","12,266",6
Earnings from operations,"22,405","19,685","17,344","2,720",14
Interest expense,"(1,663)","(1,704)","(1,400)",41,(2)
Earnings before income taxes Provision for income taxes,"20,742 (4,973)","17,981 (3,742)","15,944 (3,562)","2,761 (1,231)",15 33
Net earnings..,"15,769","14,239","12,382","1,530",11
Earnings attributable to noncontrolling interests,(366),(400),(396),34,(9)
Net earnings atributable to UnitedHealth Group common shareholders,"$15,403","$13,839","$11,986",,
Diluted earnings per share atributable to UnitedHealth,,,,"$1,564",11%
Group common shareholders,,,,,
Medical care ratio (a),$ 16.03 79.1%,$ 14.33,$ 12.19,$ 1.70,12%
,16.2,82.5%,81.6%,(3.4)%,
Operating cost ratio,8.7,14.5,15.1,1.7,
Operating margin Tax rate,24.0,8.1,7.7,0.6,
,,20.8,22.3,3.2,
Net earnings margin (b),6.0,5.7,5.3,0.3,
Return on equity (c),24.9%,25.7%,24.4%,(0.8)%,
