,Less Than 12 Months,Less Than 12 Months,Less Than 12 Months,12 Months or Greater,12 Months or Greater,12 Months or Greater,Total,Total,Total
(in millions),Fair Value,Gross Unrealized Losses,Gross Unrealized Losses,Fair Value,Fair Value,Gross Unrealized Losses,Gross Unrealized Losses,Gross Unrealized Value Losses,Gross Unrealized Value Losses
"December 31,2020",,,,,,,,,
U.S. government and agency obligations ..,346,,(3),$,$,,$ 346,$,(3)
Corporate obligations..,"1,273",,(9),456,,(3),"1,729",,(12)
U.S. agency mortgage-backed securities,601,,(3),,,,,601,(3)
Non-U.S.agency mortgage-backed securities,195,,(1),93,,(,,288,(4)
Total debt securities — available-for-sale,"$2,415",$,(16),$ 549,$,,,"$2,964",(22)
"December 31, 2019",,,,,,,,$,
U.S. government and agency obligations ..,616,$,(4),$,$,,,$616,(4)
State and municipal obligations,440,,(5),,,,,440,(5)
Corporate obligations,"1,903",,（7),740,,(4),"2,643",,(11)
U.S. agency mortgage-backed securities,657,,(3),333,,(3),,990,(6)
Non-U.S. agency mortgage-backed securities,406,,,,,,,,
,,,(3,,,,,406,(3
Total debt securities —available-for-sale .,"$4,022",$,(22),"$1,073",$,(7),"$5,095",$,(29)
