(in millions),"December 31, 2020","December 31, 2019"
Land and improvements,$533,$589
Buildings and improvements,"4,759","4,705"
Computer equipment,"1,767","2,015"
Furniture and fixtures,"1,787","1,752"
Less accumulated depreciation,"(3,364)","(3,328)"
"Property and equipment, net","5,482","5,733"
Capitalized software,"5,010","4,638"
Less accumulated amortization,"(1,866)","(1,667)"
"Capitalized software, net","3,144","2,971"
"Total property, equipment and capitalized software, net","$8,626","$8,704"
