Revenues:,2020,2019,2018
Premiums,"$201,478","$189,699","$178,087"
Products,"34,145","31,597","29,601"
Services,"20,016","18,973","17,183"
Investment and other income,"1,502","1,886","1,376"
Total revenues,"257,141","242,155","226,247"
Operating costs:,2020,2019,2018
Medical costs,"159,396","156,440","145,403"
Operating costs,"41,704","35,193","34,074"
Cost of products sold,"30,745","28,117","26,998"
Depreciation and amortization,"2,891","2,720","2,428"
Total operating costs,"234,736","222,470","208,903"
Earnings from operations,"22,405","19,685","17,344"
Interest expense,"(1,663)","(1,704)","(1,400)"
Earnings before income taxes,"20,742","17,981","15,944"
Provision for income taxes,"(4,973)","(3,742)","(3,562)"
Net earnings,"15,769","14,239","12,382"
Earnings attributable to noncontrolling interests,(366),(400),(396)
Net earnings attributable to UnitedHealth Group common shareholders,"$ 15,403","$ 13,839","$ 11,986"
Earnings per share attributable to UnitedHealth Group common shareholders:,2020,2019,2018
Basic,$ 16.23,$ 14.55,$ 12.45
Diluted,$ 16.03,$ 14.33,$ 12.19
Basic weighted-average number of common shares outstanding,949,951,963
Dilutive effect of common share equivalents,12,15,20
Diluted weighted-average number of common shares outstanding,961,966,983
Anti-dilutive shares excluded from the calculation of dilutive effect of common share equivalents,8,10,6
