(in millions),"For the Years Ended December 31,","For the Years Ended December 31,","For the Years Ended December 31,",Change,Change
(in millions),2020,2019,2018,,2020 vs.2019
Sources of cash:,,,,,
"Cash provided by operating activities Issuances of long-term debt and short-term borrowings,","$22,174","$18,463","$15,713",$,"3,711"
net of repayments,"2,586","3,994","4,134",,"(1,408)"
Proceeds from common share issuances,"1,440","1,037",838,,403
Customer funds administered,"1,677",13,,,"1,664"
Other,,219,,,(219)
Total sources of cash,"27,877","23,726","20,685",,
Uses of cash:,,,,,
"Cash paid for acquisitions, net of cash assumed","(7,139)","(8,343)",,"(5,997)","1,204"
Cash dividends paid,"(4,584)","(3,932)","(3,320)",,(652)
Common share repurchases,"(4,250)","(5,500)","(4,500)",,"1,250"
"Purchases of property, equipment and capitalized",,,,,
software,"(2,051)","(2,071)","(2,063)",,20
"Purchases of investments,net of sales and maturities","(2,836)","(2,504)",,"(4,099)",(332)
Other,(965),"(1,237)",,"(1,743)",272
Total uses of cash,"(21,825)","(23,587)","(21,722)",,
Effect of exchange rate changes on cash and cash equivalents..,(116),(20),,(78),(96)
Net increase (decrease) in cash and cash equivalents,"$ 5,936",,$,"(1,115)",
,,$ 119,,$,"5,817"
