(in millions),2020,2019,2018
Medical costs payable, beginning of period,"$ 21,690","$ 19,891,$ 17,871"
Acquisitions,316,679,339
Reported medical costs:,,,","
    Current year,160,276,"157,020,145,723"
    Prior years,(880),(580),(320)
Total reported medical costs,159,396,"156,440,145,403"
Medical payments:,,,","
    Payments for current year,"(139,974)","(137,155)","(127,155)"
    Payments for prior years,"(19,556)","(18,165)","(16,567)"
Total medical payments,"(159,530)","(155,320)","(143,722)"
Medical costs payable, end of period,"$ 21,872","$ 21,690,$ 19,891"
