Accumulated OtherComprehensive (Loss)IncomeNetUnrealized ForeignAdditional (Losses) CurrencyNonredeemableCommon StockPaid-In Retained Gains on Translation Noncontrolling Total(in millions) Shares Amount Capital EarningsInvestments Losses Interests Equity,Accumulated OtherComprehensive (Loss)IncomeNetUnrealized ForeignAdditional (Losses) CurrencyNonredeemableCommon StockPaid-In Retained Gains on Translation Noncontrolling Total(in millions) Shares Amount Capital EarningsInvestments Losses Interests Equity,Accumulated OtherComprehensive (Loss)IncomeNetUnrealized ForeignAdditional (Losses) CurrencyNonredeemableCommon StockPaid-In Retained Gains on Translation Noncontrolling Total(in millions) Shares Amount Capital EarningsInvestments Losses Interests Equity,Accumulated OtherComprehensive (Loss)IncomeNetUnrealized ForeignAdditional (Losses) CurrencyNonredeemableCommon StockPaid-In Retained Gains on Translation Noncontrolling Total(in millions) Shares Amount Capital EarningsInvestments Losses Interests Equity,Accumulated OtherComprehensive (Loss)IncomeNetUnrealized ForeignAdditional (Losses) CurrencyNonredeemableCommon StockPaid-In Retained Gains on Translation Noncontrolling Total(in millions) Shares Amount Capital EarningsInvestments Losses Interests Equity,Accumulated OtherComprehensive (Loss)IncomeNetUnrealized ForeignAdditional (Losses) CurrencyNonredeemableCommon StockPaid-In Retained Gains on Translation Noncontrolling Total(in millions) Shares Amount Capital EarningsInvestments Losses Interests Equity,Accumulated OtherComprehensive (Loss)IncomeNetUnrealized ForeignAdditional (Losses) CurrencyNonredeemableCommon StockPaid-In Retained Gains on Translation Noncontrolling Total(in millions) Shares Amount Capital EarningsInvestments Losses Interests Equity,Accumulated OtherComprehensive (Loss)IncomeNetUnrealized ForeignAdditional (Losses) CurrencyNonredeemableCommon StockPaid-In Retained Gains on Translation Noncontrolling Total(in millions) Shares Amount Capital EarningsInvestments Losses Interests Equity,Accumulated OtherComprehensive (Loss)IncomeNetUnrealized ForeignAdditional (Losses) CurrencyNonredeemableCommon StockPaid-In Retained Gains on Translation Noncontrolling Total(in millions) Shares Amount Capital EarningsInvestments Losses Interests Equity,Accumulated OtherComprehensive (Loss)IncomeNetUnrealized ForeignAdditional (Losses) CurrencyNonredeemableCommon StockPaid-In Retained Gains on Translation Noncontrolling Total(in millions) Shares Amount Capital EarningsInvestments Losses Interests Equity,Accumulated OtherComprehensive (Loss)IncomeNetUnrealized ForeignAdditional (Losses) CurrencyNonredeemableCommon StockPaid-In Retained Gains on Translation Noncontrolling Total(in millions) Shares Amount Capital EarningsInvestments Losses Interests Equity,Accumulated OtherComprehensive (Loss)IncomeNetUnrealized ForeignAdditional (Losses) CurrencyNonredeemableCommon StockPaid-In Retained Gains on Translation Noncontrolling Total(in millions) Shares Amount Capital EarningsInvestments Losses Interests Equity,Accumulated OtherComprehensive (Loss)IncomeNetUnrealized ForeignAdditional (Losses) CurrencyNonredeemableCommon StockPaid-In Retained Gains on Translation Noncontrolling Total(in millions) Shares Amount Capital EarningsInvestments Losses Interests Equity,Accumulated OtherComprehensive (Loss)IncomeNetUnrealized ForeignAdditional (Losses) CurrencyNonredeemableCommon StockPaid-In Retained Gains on Translation Noncontrolling Total(in millions) Shares Amount Capital EarningsInvestments Losses Interests Equity,Accumulated OtherComprehensive (Loss)IncomeNetUnrealized ForeignAdditional (Losses) CurrencyNonredeemableCommon StockPaid-In Retained Gains on Translation Noncontrolling Total(in millions) Shares Amount Capital EarningsInvestments Losses Interests Equity,Accumulated OtherComprehensive (Loss)IncomeNetUnrealized ForeignAdditional (Losses) CurrencyNonredeemableCommon StockPaid-In Retained Gains on Translation Noncontrolling Total(in millions) Shares Amount Capital EarningsInvestments Losses Interests Equity,Accumulated OtherComprehensive (Loss)IncomeNetUnrealized ForeignAdditional (Losses) CurrencyNonredeemableCommon StockPaid-In Retained Gains on Translation Noncontrolling Total(in millions) Shares Amount Capital EarningsInvestments Losses Interests Equity,Accumulated OtherComprehensive (Loss)IncomeNetUnrealized ForeignAdditional (Losses) CurrencyNonredeemableCommon StockPaid-In Retained Gains on Translation Noncontrolling Total(in millions) Shares Amount Capital EarningsInvestments Losses Interests Equity,Accumulated OtherComprehensive (Loss)IncomeNetUnrealized ForeignAdditional (Losses) CurrencyNonredeemableCommon StockPaid-In Retained Gains on Translation Noncontrolling Total(in millions) Shares Amount Capital EarningsInvestments Losses Interests Equity,Accumulated OtherComprehensive (Loss)IncomeNetUnrealized ForeignAdditional (Losses) CurrencyNonredeemableCommon StockPaid-In Retained Gains on Translation Noncontrolling Total(in millions) Shares Amount Capital EarningsInvestments Losses Interests Equity,Accumulated OtherComprehensive (Loss)IncomeNetUnrealized ForeignAdditional (Losses) CurrencyNonredeemableCommon StockPaid-In Retained Gains on Translation Noncontrolling Total(in millions) Shares Amount Capital EarningsInvestments Losses Interests Equity,Accumulated OtherComprehensive (Loss)IncomeNetUnrealized ForeignAdditional (Losses) CurrencyNonredeemableCommon StockPaid-In Retained Gains on Translation Noncontrolling Total(in millions) Shares Amount Capital EarningsInvestments Losses Interests Equity,,,,,,,,,,,
Accumulated OtherComprehensive (Loss)IncomeNetUnrealized ForeignAdditional (Losses) CurrencyNonredeemableCommon StockPaid-In Retained Gains on Translation Noncontrolling Total(in millions) Shares Amount Capital EarningsInvestments Losses Interests Equity,Accumulated OtherComprehensive (Loss)IncomeNetUnrealized ForeignAdditional (Losses) CurrencyNonredeemableCommon StockPaid-In Retained Gains on Translation Noncontrolling Total(in millions) Shares Amount Capital EarningsInvestments Losses Interests Equity,Accumulated OtherComprehensive (Loss)IncomeNetUnrealized ForeignAdditional (Losses) CurrencyNonredeemableCommon StockPaid-In Retained Gains on Translation Noncontrolling Total(in millions) Shares Amount Capital EarningsInvestments Losses Interests Equity,Accumulated OtherComprehensive (Loss)IncomeNetUnrealized ForeignAdditional (Losses) CurrencyNonredeemableCommon StockPaid-In Retained Gains on Translation Noncontrolling Total(in millions) Shares Amount Capital EarningsInvestments Losses Interests Equity,Accumulated OtherComprehensive (Loss)IncomeNetUnrealized ForeignAdditional (Losses) CurrencyNonredeemableCommon StockPaid-In Retained Gains on Translation Noncontrolling Total(in millions) Shares Amount Capital EarningsInvestments Losses Interests Equity,Accumulated OtherComprehensive (Loss)IncomeNetUnrealized ForeignAdditional (Losses) CurrencyNonredeemableCommon StockPaid-In Retained Gains on Translation Noncontrolling Total(in millions) Shares Amount Capital EarningsInvestments Losses Interests Equity,Accumulated OtherComprehensive (Loss)IncomeNetUnrealized ForeignAdditional (Losses) CurrencyNonredeemableCommon StockPaid-In Retained Gains on Translation Noncontrolling Total(in millions) Shares Amount Capital EarningsInvestments Losses Interests Equity,Accumulated OtherComprehensive (Loss)IncomeNetUnrealized ForeignAdditional (Losses) CurrencyNonredeemableCommon StockPaid-In Retained Gains on Translation Noncontrolling Total(in millions) Shares Amount Capital EarningsInvestments Losses Interests Equity,Accumulated OtherComprehensive (Loss)IncomeNetUnrealized ForeignAdditional (Losses) CurrencyNonredeemableCommon StockPaid-In Retained Gains on Translation Noncontrolling Total(in millions) Shares Amount Capital EarningsInvestments Losses Interests Equity,Accumulated OtherComprehensive (Loss)IncomeNetUnrealized ForeignAdditional (Losses) CurrencyNonredeemableCommon StockPaid-In Retained Gains on Translation Noncontrolling Total(in millions) Shares Amount Capital EarningsInvestments Losses Interests Equity,Accumulated OtherComprehensive (Loss)IncomeNetUnrealized ForeignAdditional (Losses) CurrencyNonredeemableCommon StockPaid-In Retained Gains on Translation Noncontrolling Total(in millions) Shares Amount Capital EarningsInvestments Losses Interests Equity,Accumulated OtherComprehensive (Loss)IncomeNetUnrealized ForeignAdditional (Losses) CurrencyNonredeemableCommon StockPaid-In Retained Gains on Translation Noncontrolling Total(in millions) Shares Amount Capital EarningsInvestments Losses Interests Equity,Accumulated OtherComprehensive (Loss)IncomeNetUnrealized ForeignAdditional (Losses) CurrencyNonredeemableCommon StockPaid-In Retained Gains on Translation Noncontrolling Total(in millions) Shares Amount Capital EarningsInvestments Losses Interests Equity,Accumulated OtherComprehensive (Loss)IncomeNetUnrealized ForeignAdditional (Losses) CurrencyNonredeemableCommon StockPaid-In Retained Gains on Translation Noncontrolling Total(in millions) Shares Amount Capital EarningsInvestments Losses Interests Equity,Accumulated OtherComprehensive (Loss)IncomeNetUnrealized ForeignAdditional (Losses) CurrencyNonredeemableCommon StockPaid-In Retained Gains on Translation Noncontrolling Total(in millions) Shares Amount Capital EarningsInvestments Losses Interests Equity,Accumulated OtherComprehensive (Loss)IncomeNetUnrealized ForeignAdditional (Losses) CurrencyNonredeemableCommon StockPaid-In Retained Gains on Translation Noncontrolling Total(in millions) Shares Amount Capital EarningsInvestments Losses Interests Equity,Accumulated OtherComprehensive (Loss)IncomeNetUnrealized ForeignAdditional (Losses) CurrencyNonredeemableCommon StockPaid-In Retained Gains on Translation Noncontrolling Total(in millions) Shares Amount Capital EarningsInvestments Losses Interests Equity,Accumulated OtherComprehensive (Loss)IncomeNetUnrealized ForeignAdditional (Losses) CurrencyNonredeemableCommon StockPaid-In Retained Gains on Translation Noncontrolling Total(in millions) Shares Amount Capital EarningsInvestments Losses Interests Equity,Accumulated OtherComprehensive (Loss)IncomeNetUnrealized ForeignAdditional (Losses) CurrencyNonredeemableCommon StockPaid-In Retained Gains on Translation Noncontrolling Total(in millions) Shares Amount Capital EarningsInvestments Losses Interests Equity,Accumulated OtherComprehensive (Loss)IncomeNetUnrealized ForeignAdditional (Losses) CurrencyNonredeemableCommon StockPaid-In Retained Gains on Translation Noncontrolling Total(in millions) Shares Amount Capital EarningsInvestments Losses Interests Equity,Accumulated OtherComprehensive (Loss)IncomeNetUnrealized ForeignAdditional (Losses) CurrencyNonredeemableCommon StockPaid-In Retained Gains on Translation Noncontrolling Total(in millions) Shares Amount Capital EarningsInvestments Losses Interests Equity,Accumulated OtherComprehensive (Loss)IncomeNetUnrealized ForeignAdditional (Losses) CurrencyNonredeemableCommon StockPaid-In Retained Gains on Translation Noncontrolling Total(in millions) Shares Amount Capital EarningsInvestments Losses Interests Equity,AdditionalPaid-InCapital,RetainedEarnings,,,,,,,,,
Accumulated OtherComprehensive (Loss)IncomeNetUnrealized ForeignAdditional (Losses) CurrencyNonredeemableCommon StockPaid-In Retained Gains on Translation Noncontrolling Total(in millions) Shares Amount Capital EarningsInvestments Losses Interests Equity,Accumulated OtherComprehensive (Loss)IncomeNetUnrealized ForeignAdditional (Losses) CurrencyNonredeemableCommon StockPaid-In Retained Gains on Translation Noncontrolling Total(in millions) Shares Amount Capital EarningsInvestments Losses Interests Equity,Accumulated OtherComprehensive (Loss)IncomeNetUnrealized ForeignAdditional (Losses) CurrencyNonredeemableCommon StockPaid-In Retained Gains on Translation Noncontrolling Total(in millions) Shares Amount Capital EarningsInvestments Losses Interests Equity,Accumulated OtherComprehensive (Loss)IncomeNetUnrealized ForeignAdditional (Losses) CurrencyNonredeemableCommon StockPaid-In Retained Gains on Translation Noncontrolling Total(in millions) Shares Amount Capital EarningsInvestments Losses Interests Equity,Accumulated OtherComprehensive (Loss)IncomeNetUnrealized ForeignAdditional (Losses) CurrencyNonredeemableCommon StockPaid-In Retained Gains on Translation Noncontrolling Total(in millions) Shares Amount Capital EarningsInvestments Losses Interests Equity,Accumulated OtherComprehensive (Loss)IncomeNetUnrealized ForeignAdditional (Losses) CurrencyNonredeemableCommon StockPaid-In Retained Gains on Translation Noncontrolling Total(in millions) Shares Amount Capital EarningsInvestments Losses Interests Equity,Accumulated OtherComprehensive (Loss)IncomeNetUnrealized ForeignAdditional (Losses) CurrencyNonredeemableCommon StockPaid-In Retained Gains on Translation Noncontrolling Total(in millions) Shares Amount Capital EarningsInvestments Losses Interests Equity,Accumulated OtherComprehensive (Loss)IncomeNetUnrealized ForeignAdditional (Losses) CurrencyNonredeemableCommon StockPaid-In Retained Gains on Translation Noncontrolling Total(in millions) Shares Amount Capital EarningsInvestments Losses Interests Equity,Accumulated OtherComprehensive (Loss)IncomeNetUnrealized ForeignAdditional (Losses) CurrencyNonredeemableCommon StockPaid-In Retained Gains on Translation Noncontrolling Total(in millions) Shares Amount Capital EarningsInvestments Losses Interests Equity,Accumulated OtherComprehensive (Loss)IncomeNetUnrealized ForeignAdditional (Losses) CurrencyNonredeemableCommon StockPaid-In Retained Gains on Translation Noncontrolling Total(in millions) Shares Amount Capital EarningsInvestments Losses Interests Equity,Accumulated OtherComprehensive (Loss)IncomeNetUnrealized ForeignAdditional (Losses) CurrencyNonredeemableCommon StockPaid-In Retained Gains on Translation Noncontrolling Total(in millions) Shares Amount Capital EarningsInvestments Losses Interests Equity,Accumulated OtherComprehensive (Loss)IncomeNetUnrealized ForeignAdditional (Losses) CurrencyNonredeemableCommon StockPaid-In Retained Gains on Translation Noncontrolling Total(in millions) Shares Amount Capital EarningsInvestments Losses Interests Equity,Accumulated OtherComprehensive (Loss)IncomeNetUnrealized ForeignAdditional (Losses) CurrencyNonredeemableCommon StockPaid-In Retained Gains on Translation Noncontrolling Total(in millions) Shares Amount Capital EarningsInvestments Losses Interests Equity,Accumulated OtherComprehensive (Loss)IncomeNetUnrealized ForeignAdditional (Losses) CurrencyNonredeemableCommon StockPaid-In Retained Gains on Translation Noncontrolling Total(in millions) Shares Amount Capital EarningsInvestments Losses Interests Equity,Accumulated OtherComprehensive (Loss)IncomeNetUnrealized ForeignAdditional (Losses) CurrencyNonredeemableCommon StockPaid-In Retained Gains on Translation Noncontrolling Total(in millions) Shares Amount Capital EarningsInvestments Losses Interests Equity,Accumulated OtherComprehensive (Loss)IncomeNetUnrealized ForeignAdditional (Losses) CurrencyNonredeemableCommon StockPaid-In Retained Gains on Translation Noncontrolling Total(in millions) Shares Amount Capital EarningsInvestments Losses Interests Equity,Accumulated OtherComprehensive (Loss)IncomeNetUnrealized ForeignAdditional (Losses) CurrencyNonredeemableCommon StockPaid-In Retained Gains on Translation Noncontrolling Total(in millions) Shares Amount Capital EarningsInvestments Losses Interests Equity,Accumulated OtherComprehensive (Loss)IncomeNetUnrealized ForeignAdditional (Losses) CurrencyNonredeemableCommon StockPaid-In Retained Gains on Translation Noncontrolling Total(in millions) Shares Amount Capital EarningsInvestments Losses Interests Equity,Accumulated OtherComprehensive (Loss)IncomeNetUnrealized ForeignAdditional (Losses) CurrencyNonredeemableCommon StockPaid-In Retained Gains on Translation Noncontrolling Total(in millions) Shares Amount Capital EarningsInvestments Losses Interests Equity,Accumulated OtherComprehensive (Loss)IncomeNetUnrealized ForeignAdditional (Losses) CurrencyNonredeemableCommon StockPaid-In Retained Gains on Translation Noncontrolling Total(in millions) Shares Amount Capital EarningsInvestments Losses Interests Equity,Accumulated OtherComprehensive (Loss)IncomeNetUnrealized ForeignAdditional (Losses) CurrencyNonredeemableCommon StockPaid-In Retained Gains on Translation Noncontrolling Total(in millions) Shares Amount Capital EarningsInvestments Losses Interests Equity,Accumulated OtherComprehensive (Loss)IncomeNetUnrealized ForeignAdditional (Losses) CurrencyNonredeemableCommon StockPaid-In Retained Gains on Translation Noncontrolling Total(in millions) Shares Amount Capital EarningsInvestments Losses Interests Equity,AdditionalPaid-InCapital,RetainedEarnings,Shares Amount,Shares Amount,Shares Amount,Shares Amount,Shares Amount,Shares Amount,,,
"Balance at January 1,2018","Balance at January 1,2018","Balance at January 1,2018","Balance at January 1,2018","Balance at January 1,2018","Balance at January 1,2018","Balance at January 1,2018","Balance at January 1,2018","Balance at January 1,2018","Balance at January 1,2018",969 $,969 $,969 $,969 $,969 $,969 $,"10$ 1,703","$48,730 $","(13)$ (2,654)","(13)$ (2,654)","$ 2,057 $49,833","2,057 $49,833",,,,,,,,,,,
Adjustment to adopt ASU 2016-01,Adjustment to adopt ASU 2016-01,Adjustment to adopt ASU 2016-01,Adjustment to adopt ASU 2016-01,Adjustment to adopt ASU 2016-01,Adjustment to adopt ASU 2016-01,Adjustment to adopt ASU 2016-01,Adjustment to adopt ASU 2016-01,Adjustment to adopt ASU 2016-01,Adjustment to adopt ASU 2016-01,,,,,,,,(24),,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,"11,986",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,"11,986",24,24,,,,,,,,,,,,,
Net earnings,Net earnings,Net earnings,Net earnings,Net earnings,Net earnings,Net earnings,Net earnings,Net earnings,Net earnings,,,,,,,,"11,986",24,24,,,,,,,,,,,,,
Net earnings,Net earnings,Net earnings,Net earnings,Net earnings,Net earnings,Net earnings,Net earnings,Net earnings,Net earnings,,,,,,,,"11,986",24,24,273,"12,259",,,,,,,,,,,
Net earnings,Net earnings,Net earnings,Net earnings,Net earnings,Net earnings,Net earnings,Net earnings,Net earnings,Net earnings,,,,,,,,"11,986",24,24,273,"12,259",,,,,,,,,,,
