,"For the Years Ended December 31,","For the Years Ended December 31,","For the Years Ended December 31,"
,2020,2019,2018
Revenues:,,,
Investment and other income,$ 194,$ 209,$ 194
Total revenues,194,209,194
Operating costs:,,,
Operating costs,27,38,35
Interest expense,"1,594","1,580","1,285"
Total operating costs,"1,621","1,618","1,320"
Loss before income taxes,"(1,427)","(1,409)","(1,126)"
Benefit for income taxes Loss of parent company,300,293,251
Equity in undistributed income of subsidiaries,"(1,127) 16,530","(1,116) 14,955","(875) 12,861"
Net earnings,"15,403","13,839","11,986"
Other comprehensive (loss) income,(236),582,"(1,517)"
Comprehensive income,"$15,167","$14,421","$10,469"
