(in millions),Common Stock,Additional Paid-In Capital,Retained Earnings,Net Unrealized (Losses) Gains on Investments,Foreign Currency Translation Losses,Nonredeemable Noncontrolling Interests,Total Equity
"Balance at January 1, 2018",969,$10,"$1,703","$48,730",$,$,"$2,057,$49,833"
Adjustment to adopt ASU 2016-01,,$,$,$,$,$,"$,$,$"
Net earnings,,"$11,986",$,$,$,$,"$,$12,259"
Other comprehensive loss,,$,$,$,$,$,"$,$,$1,517"
"Issuances of common stock, and related tax effects",10,$,$814,$,$,$,$814
Share-based compensation,,$,$620,$,$,$,$620
Common share repurchases,(19),$,$,$,$,$,"$(4,500)"
Cash dividends paid on common shares ($3.45 per share),,$,$,$,$,$,"$,$(3,320)"
Redeemable noncontrolling interest fair value and other adjustments,,$,$,$,$,$,"$,$(163)"
Acquisition and other adjustments of nonredeemable noncontrolling interests,,$,$,$,$,$,"$521,$521"
Distributions to nonredeemable noncontrolling interest,,$,$,$,$,$,"$(228),$(228)"
"Balance at December 31, 2018",960,$10,$,"$55,846",$,$,"$2,623,$54,319"
Adjustment to adopt ASU 2016-02,,$,$,$,$,$,"$,$,$(18)"
Net earnings,,"$13,839",$,$,$,$,"$,$14,124"
Other comprehensive income (loss),,$,$,$853,$,$,"$,$582"
"Issuances of common stock, and related tax effects",10,$,$696,$,$,$,$696
Share-based compensation,,$,$673,$,$,$,$673
Common share repurchases,(22),(1),$,$,$,$,"$(5,500)"
Cash dividends paid on common,,,,,,,
Net earnings\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t,,,,,,,
Distributions to nonredeemable noncontrolling interests,,,,,,,
Balance at December 31,2020,,,,,,
946 $ 10 $ 69,295 $ 1,336 $ (5,150) $ 2,837 $ 68,328,,
