Revenues:,"For the Years Ended December 31,",2020,2019,2018
Revenues: Investment and other income,$ 194,$ 209,$ 194,$ 194
Revenues: Total revenues,194,209,194,194
Operating costs:,Operating costs,,,
Operating costs: Interest expense,"1,594","1,580","1,285",
Operating costs: Total operating costs,"1,621","1,618","1,320",
Operating costs: Loss before income taxes,"(1,427)","(1,409)","(1,126)",
Operating costs: Benefit for income taxes,300,293,251,
Operating costs: Loss of parent company,"(1,127)","(1,116)",(875),
Operating costs: Equity in undistributed income of subsidiaries,"16,530","14,955","12,861",
Operating costs: Net earnings,"15,403","13,839","11,986",
Operating costs: Other comprehensive (loss) income,(236),582,"(1,517)",
Operating costs: Comprehensive income,"$ 15,167","$ 14,421","$ 10,469",
