(in millions),Less Than 12 Months,Less Than 12 Months,12 Months or Greater,12 Months or Greater,Total,Total
Fair Value,Fair Value,Gross Unrealized Losses,Fair Value,Gross Unrealized Losses,Fair Value,Gross Unrealized Losses
"December 31, 2020",,U.S. government and agency obligations,346,-3,346,-3
,,Corporate obligations,1273,-9,456,"-3,1729,-12"
,,U.S. agency mortgage-backed securities,601,-3,601,-3
,,Non-U.S. agency mortgage-backed securities,195,-1,93,"-3,288,-4"
,,Total debt securities - available-for-sale,2415,-16,549,"-6,2964,-22"
"December 31, 2019",,U.S. government and agency obligations,616,-4,616,-4
,,State and municipal obligations,440,-5,440,-5
,,Corporate obligations,1903,-7,740,"-4,2643,-11"
,,U.S. agency mortgage-backed securities,657,-3,333,"-3,990,-6"
,,Non-U.S. agency mortgage-backed securities,406,-3,406,-3
,,Total debt securities - available-for-sale,4022,-22,1073,"-7,5095,-29"
