Signature,Title,Date
/s/ANDREWP.WITTY Andrew P. Witty,Director and Chief Executive Officer,"March 1, 2021"
/s/ JOHN F. REX,(principal executive officer) Executive Vice President and,"March 1, 2021"
John F. Rex,Chief Financial Officer (principal financial oficer),
/s/THOMAS E. ROOS Thomas E. Roos,Senior Vice President and Chief Accounting Officer,"March 1,2021"
*,(principal accounting officer) Director,"March 1, 2021"
Richard T.Burke *,Director,"March 1,2021"
Timothy P.Flynn *,Director,"March 1,2021"
Stephen J. Hemsley *,Director,
Michele J. Hooper *,,"March 1, 2021"
F. William McNabb III *,Director,"March 1,2021"
"Valerie C. Montgomery Rice, M.D.",Director,"March 1, 2021"
"* John H. Noseworthy, M.D.",Director,"March1,2021"
* Glenn M. Renwick,Director,"March 1, 2021"
"* Gail R. Wilensky, Ph.D.",Director,"March1,2021"
