(in millions),2020,2019
Deferred income tax assets:,,
Accrued expenses and allowances,$ 815,$ 654
U.S. federal and state net operating loss carryforwards,276,260
Share-based compensation,98,97
Nondeductible liabilities,252,184
Non-U.S. tax loss carryforwards,340,420
Lease liability,1200,892
Other-domestic,126,179
Other-non-U.S.,454,329
Subtotal,3561,3015
Less: valuation allowances,-170,-147
Total deferred income tax assets,3391,2868
Deferred income tax liabilities:,,
U.S. federal and state intangible assets,-2588,-2370
Non-U.S. goodwill and intangible assets,-606,-735
Capitalized software,-731,-683
Depreciation and amortization,-346,-301
Prepaid expenses,-216,-172
Outside basis in partnerships,-342,-317
Lease right-of-use asset,-1179,-887
Net unrealized gains on investments,-400,-177
Other-non-U.S.,-350,-219
Total deferred income tax liabilities,-6758,-5861
Net deferred income tax liabilities,-3367,-2993
