,,Quoted Prices in Active Markets,Quoted Prices in Active Markets,Other Observable Unobservable Inputs Inputs,Other Observable Unobservable Inputs Inputs,Total Fair and Carrying Value
(in millions),(Level 1),,(Level 2),(Level 3),,
"December 31,2020",$,"16,841 $",80,$,"$16,921",Total Fair and Carrying Value
Cash and cash equivalents Debt securities- available-for-sale:,,,,,,
U.S. government and agency obligations,,"3,241",224,,"3,465",
State and municipal obligations,,,"7,328",,"7,328",
Corporate obligations,,25,"19,424",288,"19,737",
U.S. agency mortgage-backed securities,,,"7,091",,"7,091",
Non-U.S. agency mortgage-backed securities,,,"2,207",,"2,207",
Total debt securities -available-for-sale,,"3,266","36,274",288,"39,828",
Equity securities .,,"1,795",33,,"1,828",
Assets under management,,"1,774","2,250",52,"4,076",
Total assets at fair value,$,"23,676 $",38.637,$ 340,"$62,653",
Percentage of total assets at fair value,,38%,61%,1%,100%,
"December 31, 2019",,,,,,
Cash and cash equivalents,$,"10,837 $",148,$,"$10,985",
Debt securities — available-for-sale:,,,,,,
U.S. government and agency obligations,,"3,369",184,,"3,553",
State and municipal obligations,,,"5,926",,"5,926",
Corporate obligations,,70,"17,923",249,"18,242",
U.S.agency mortgage-backed securities,,,"6.,528",,"6,528",
Non-U.S.agency mortgage-backed securities,,,"1,845",,"1,845",
Total debt securities —available-for-sale,,"3,439","32,406",249,"36,094",
Equity securities .,,"1,734",22,,"1,756",
Assets under management,,"1,123","1,918",35,"3,076",
Total assets at fair value,$,"17,133 $","34,494",$ 284,"$51,911",
Percentage of total assets at fair value,,33%,66%,1%,100%,
