Signature,Title,Date
/s/ ANDREW P. WITTY,Director and Chief Executive Officer (principal executive officer),"March 1, 2021"
Andrew P. Witty,,"March 1, 2021"
/s/ JOHN F. REX,Executive Vice President and Chief Financial Officer (principal financial officer),"March 1, 2021"
John F. Rex,,"March 1, 2021"
/s/ THOMAS E. ROOS,Senior Vice President and Chief Accounting Officer (principal accounting officer),"March 1, 2021"
Thomas E. Roos,,"March 1, 2021"
*,Director,"March 1, 2021"
Richard T. Burke,,"March 1, 2021"
*,Director,"March 1, 2021"
Timothy P. Flynn,,"March 1, 2021"
*,Director,"March 1, 2021"
Stephen J. Hemsley,,"March 1, 2021"
*,Director,"March 1, 2021"
Michele J. Hooper,,"March 1, 2021"
*,Director,"March 1, 2021"
F. William McNabb III,,"March 1, 2021"
*,Director,"March 1, 2021"
"""Valerie C. Montgomery Rice, M.D.""",Director,"March 1, 2021"
*,Director,"March 1, 2021"
"""John H. Noseworthy, M.D.""",Director,"March 1, 2021"
*,,
Glenn M. Renwick,Director,"March 1, 2021"
*,Director,"March 1, 2021"
"""Gail R. Wilensky, Ph.D.""",Director,"March 1, 2021"
