(in millions),Quoted Prices in Active Markets (Level 1),Other Observable Inputs (Level 2),Unobservable Inputs (Level 3),Total Fair and Carrying Value
"December 31, 2020",Cash and cash equivalents,"$ 16,841",$ 80,"$ —,$ 16,921"
"December 31, 2020",Debt securities — available-for-sale:,U.S. government and agency obligations,"3,241","224,$ —,3,465"
"December 31, 2020",,State and municipal obligations,$ —,"7,328,$ —,7,328"
"December 31, 2020",,Corporate obligations,25,"19,424,288,19,737"
"December 31, 2020",,U.S. agency mortgage-backed securities,$ —,"7,091,$ —,7,091"
"December 31, 2020",,Non-U.S. agency mortgage-backed securities,$ —,"2,207,$ —,2,207"
"December 31, 2020",Total debt securities — available-for-sale,"3,266","36,274","288,39,828"
"December 31, 2020",Equity securities,"1,795",33,"$ —,1,828"
"December 31, 2020",Assets under management,"1,774","2,250","52,4,076"
"December 31, 2020",Total assets at fair value,"$ 23,676","$ 38,637","$ 340,$ 62,653"
"December 31, 2020",Percentage of total assets at fair value,38%,61%,"1%,100%"
"December 31, 2019",Cash and cash equivalents,"$ 10,837",$ 148,"$ —,$ 10,985"
"December 31, 2019",Debt securities — available-for-sale:,U.S. government and agency obligations,"3,369","184,$ —,3,553"
"December 31, 2019",,State and municipal obligations,$ —,"5,926,$ —,5,926"
"December 31, 2019",,Corporate obligations,70,"17,923,249,18,242"
"December 31, 2019",,U.S. agency mortgage-backed securities,$ —,"6,528,$ —,6,528"
"December 31, 2019",,Non-U.S. agency mortgage-backed securities,$ —,"1,845,$ —,1,845"
"December 31, 2019",Total debt securities — available-for-sale,"3,439","32,406","249,36,094"
"December 31, 2019",Equity securities,"1,734",22,"$ —,1,756"
"December 31, 2019",Assets under management,"1,123","1,918","35,3,076"
"December 31, 2019",Total assets at fair value,"$ 17,133","$ 34,494","$ 284,$ 51,911"
"December 31, 2019",Percentage of total assets at fair value,33%,66%,"1%,100%"
