(in millions),2020,2020
Deferred income tax assets:,,
Accrued expenses and allowances .,$ 815,$ 654
U.S. federal and state net operating loss carryforwards,276,260
Share-based compensation,98,97
Nondeductible liabilities,252,184
Non-U.S. tax loss carryforwards,340,420
Lease liability .,"1,200",892
Other-domestic,126,179
Other-non-U.S.,454,329
Subtotal,"3,561","3,015"
Less: valuation allowances,(170),(147)
Total deferred income tax assets,"3,391","2,868"
Deferred income tax liabilities:,,
U.S.federal and state intangible assets,"(2,588)","(2,370)"
Non-U.S. goodwill and intangible assets Capitalized software,(606),(735)
,(731),(683)
Depreciation and amortization,(346),(301)
Prepaid expenses.,(216),(172)
Outside basis in partnerships,(342),(317)
Lease right-of-use asset,"(1,179)",(887)
Net unrealized gains on investments,(400),(177)
Other-non-U.S..,(350),(219)
Total deferred income tax liabilities,"(6,758)",
Net deferred income tax liabilities .,"$(3,367) $(2,993)","(5,861)"
