"December 31,2020 December 31,2019Par Carrying Fair Par Carrying Fair(in millions,except percentages) Value Value Value Value Value Value","December 31,2020 December 31,2019Par Carrying Fair Par Carrying Fair(in millions,except percentages) Value Value Value Value Value Value","December 31,2020 December 31,2019Par Carrying Fair Par Carrying Fair(in millions,except percentages) Value Value Value Value Value Value","December 31,2020 December 31,2019Par Carrying Fair Par Carrying Fair(in millions,except percentages) Value Value Value Value Value Value","December 31,2020 December 31,2019Par Carrying Fair Par Carrying Fair(in millions,except percentages) Value Value Value Value Value Value","December 31,2020 December 31,2019Par Carrying Fair Par Carrying Fair(in millions,except percentages) Value Value Value Value Value Value","December 31,2020 December 31,2019Par Carrying Fair Par Carrying Fair(in millions,except percentages) Value Value Value Value Value Value","December 31,2020 December 31,2019Par Carrying Fair Par Carrying Fair(in millions,except percentages) Value Value Value Value Value Value","December 31,2020 December 31,2019Par Carrying Fair Par Carrying Fair(in millions,except percentages) Value Value Value Value Value Value","December 31,2020 December 31,2019Par Carrying Fair Par Carrying Fair(in millions,except percentages) Value Value Value Value Value Value","December 31,2020 December 31,2019Par Carrying Fair Par Carrying Fair(in millions,except percentages) Value Value Value Value Value Value","December 31,2020 December 31,2019Par Carrying Fair Par Carrying Fair(in millions,except percentages) Value Value Value Value Value Value","December 31,2020 December 31,2019Par Carrying Fair Par Carrying Fair(in millions,except percentages) Value Value Value Value Value Value","December 31,2020 December 31,2019Par Carrying Fair Par Carrying Fair(in millions,except percentages) Value Value Value Value Value Value","December 31,2020 December 31,2019Par Carrying Fair Par Carrying Fair(in millions,except percentages) Value Value Value Value Value Value","December 31,2020 December 31,2019Par Carrying Fair Par Carrying Fair(in millions,except percentages) Value Value Value Value Value Value",,,,,,
"December 31,2020 December 31,2019Par Carrying Fair Par Carrying Fair(in millions,except percentages) Value Value Value Value Value Value","December 31,2020 December 31,2019Par Carrying Fair Par Carrying Fair(in millions,except percentages) Value Value Value Value Value Value","December 31,2020 December 31,2019Par Carrying Fair Par Carrying Fair(in millions,except percentages) Value Value Value Value Value Value","December 31,2020 December 31,2019Par Carrying Fair Par Carrying Fair(in millions,except percentages) Value Value Value Value Value Value","December 31,2020 December 31,2019Par Carrying Fair Par Carrying Fair(in millions,except percentages) Value Value Value Value Value Value","December 31,2020 December 31,2019Par Carrying Fair Par Carrying Fair(in millions,except percentages) Value Value Value Value Value Value","December 31,2020 December 31,2019Par Carrying Fair Par Carrying Fair(in millions,except percentages) Value Value Value Value Value Value","December 31,2020 December 31,2019Par Carrying Fair Par Carrying Fair(in millions,except percentages) Value Value Value Value Value Value","December 31,2020 December 31,2019Par Carrying Fair Par Carrying Fair(in millions,except percentages) Value Value Value Value Value Value","December 31,2020 December 31,2019Par Carrying Fair Par Carrying Fair(in millions,except percentages) Value Value Value Value Value Value","December 31,2020 December 31,2019Par Carrying Fair Par Carrying Fair(in millions,except percentages) Value Value Value Value Value Value","December 31,2020 December 31,2019Par Carrying Fair Par Carrying Fair(in millions,except percentages) Value Value Value Value Value Value","December 31,2020 December 31,2019Par Carrying Fair Par Carrying Fair(in millions,except percentages) Value Value Value Value Value Value","December 31,2020 December 31,2019Par Carrying Fair Par Carrying Fair(in millions,except percentages) Value Value Value Value Value Value","December 31,2020 December 31,2019Par Carrying Fair Par Carrying Fair(in millions,except percentages) Value Value Value Value Value Value","December 31,2020 December 31,2019Par Carrying Fair Par Carrying Fair(in millions,except percentages) Value Value Value Value Value Value",Par Carrying FairValue Value Value,Par Carrying FairValue Value Value,Par Carrying FairValue Value Value,Par Carrying FairValue Value Value,Par Carrying FairValue Value Value,Par Carrying FairValue Value Value
"Commercial paper. $1,2962.700% notes due July 2020","Commercial paper. $1,2962.700% notes due July 2020","Commercial paper. $1,2962.700% notes due July 2020","Commercial paper. $1,2962.700% notes due July 2020","Commercial paper. $1,2962.700% notes due July 2020","$1,296","$1,296","$1,296","$1,296","$1,296",$ 400$ 400 $ 400,$ 400$ 400 $ 400,$ 400$ 400 $ 400,$ 400$ 400 $ 400,$ 400$ 400 $ 400,$ 400$ 400 $ 400,,,,,,
"Commercial paper. $1,2962.700% notes due July 2020","Commercial paper. $1,2962.700% notes due July 2020","Commercial paper. $1,2962.700% notes due July 2020","Commercial paper. $1,2962.700% notes due July 2020","Commercial paper. $1,2962.700% notes due July 2020",,,,,,"1,500","1,500","1,499 1,506","1,499 1,506","1,499 1,506","1,499 1,506",,,,,,
Floatingratenotes,Floatingratenotes,,,,,,,,,300,300,300 300,300 300,300 300,300 300,,,,,,
3.875% notes due October 2020,3.875% notes due October 2020,,,,,,,,,450,450,450 455,450 455,450 455,450 455,,,,,,
1.950%notesdue,1.950%notesdue,,,,,,,,,900,900,899 900,899 900,899 900,899 900,,,,,,
4.700% notes due February 20212.125% notes due March 2021,4.700% notes due February 20212.125% notes due March 2021,400,400,400,400,400,400,401,401,400,400,403 410,403 410,403 410,403 410,,,,,,
4.700% notes due February 20212.125% notes due March 2021,4.700% notes due February 20212.125% notes due March 2021,2.125% notes due March 2021,2.125% notes due March 2021,750,750,750,750,750,750,753,753,750,750,749 753,749 753,749 753,749 753,,,,
Floatingratenotes,Floatingratenotes,350,350,350,350,350,350,350,350,350,350,349 350,349 350,349 350,349 350,,,,,,
3.150% notes due June 2021,3.150% notes due June 2021,400,400,400,400,400,400,405,405,400,400,399 407,399 407,399 407,399 407,,,,,,
3.375% notes due November 2021,3.375% notes due November 2021,500,500,500,507,507,507,509,509,500,500,501,501,501,512,,,,,,
2.875% notes due,2.875% notes due,750,750,750,762,762,762,768,768,750,750,753 765,753 765,753 765,753 765,,,,,,
2.875% notes due March 2022,2.875% notes due March 2022,,"1,100","1,100","1,113","1,113","1,113","1,127","1,127","1,100","1,100","1,087 1,121","1,087 1,121","1,087 1,121","1,087 1,121",,,,,,
3.350% notes due July 2022,3.350% notes due July 2022,July2022..................．,"1,000","1,000",999,999,999,,"1,048","1,000","1,000",998,998,998,"1,036",,,,,,
