```csv
"Billions of cubic feet (BCF)","U.S.","Americas","Africa","Asia","Australia","Europe","Total","TCO","Other","Total Consolidated and Affiliated Companies"
"Reserves at January 1, 2019",6709,863,2815,4310,13731,305,28733,1934,909,31576
"Changes attributable to:",-2565,-107,46,165,1732,3,-726,-223,39,-464
"Revisions",,-,-,-,-,-,-,-,-,
"Improved recovery",,-,-,-,-,-,-,-,-,-
"Extensions and discoveries",1008,49,-,5,93,1,1156,-,-,1176
"Purchases",24,-,-,-,-,-,24,-,-,24
"Sales",-1,-2,-,-,-,-,-,-,-,-243
"Production",447,67,103,799,898,43,2357,153,102,2612
"Reserves at December 31, 2019",4728,736,2758,3681,14658,26,26587,2004,866,29457
"Changes attributable to:",-509,-178,-229,169,-2455,-2,-3204,162,138,-2904
"Revisions",,-,-,-,-,-,-,-,-,-
"Improved recovery",,-,-,-,-,-,-,-,-,-
"Extensions and discoveries",385,8,2,-,58,-,453,-,-,453
"Purchases",1548,-,441,5350,-,-,7339,-,-,7339
"Sales",-1314,-177,-,-,-,-,-1755,-,-,-1755
"Production",588,60,135,753,876,2,-2414,148,106,-2668
"Reserves at December 31, 2020",4250,329,2837,8183,11385,22,27006,2018,898,29922
"Changes attributable to:",829,129,147,119,1181,1,2406,-179,82,2309
"Revisions",,-,-,-,-,-,-,-,-,-
"Improved recovery",,-,-,-,-,-,-,-,-,-
"Extensions and discoveries",1408,63,-,-,19,-,1490,-,-,1490
"Purchases",44,-,-,-,-,-,44,-,-,44
"Sales",-29,-,-,-,-,-,-,-,-,-42
"Production",617,66,188,829,888,2,-2590,138,87,-2815
"Reserves at December 31, 2021",5885,455,2796,7473,11684,21,28314,1701,893,30908
```
