Jurisdiction,References to AI in current legislation? (Yes/No),References to AI in proposed legislation? (Yes/No),Citation,Description
Mexico,No,Yes,"Iniciativa con Proyecto de Decreto por el Que Se Expide la Ley para la Regulación Ética de la Inteligencia Artificial y la Robótica, May 24, 2023, https://perma.cc/PY6J-QM2Z.",This bill proposes to establish public policy guidelines for the ethical regulation of artificial intelligence and robotics and to enact a regulatory framework to achieve this goal.
Norway,Yes,No,"National Insurance Act § 21-11 a (Folketrygdloven), https://perma.cc/69YC-MFDC (in Norwegian).","Provides that the government, through issued regulations, may regulate automated decision making in relation to national health insurance. Provides legal basis for use of artificial intelligence (kunstig intelligense) in the health and care service."
Panama,No,Yes,"Proyecto de Ley Que Regula la Inteligencia Artificial en la Republica, July 6, 2023, https://perma.cc/BVP8-QFQ6.",This bill proposes guidelines on the development and application of artificial intelligence in order to foster innovation and protect personal privacy rights.
Peru,Yes,No,"Ley No. 31814, July 5, 2023, https://perma.cc/Y88S-HY7X.",Promotes the use of artificial intelligence in the framework of the national process of digital transformation. It aims to protect human rights and promote economic and social development in the country.
Philippines,No,Yes,"House Bill No. 7396, proposing to enact an Act Promoting the Development and Regulation of Artificial Intelligence in The Philippines, Mar.1,2023, https://perma.cc/6SSP-24GS.","The bill outlines the principles of responsible AI development, including transparency, fairness, accountability, and privacy... It includes provisions to protect the privacy and personal data of individuals, to prevent discrimination and bias in AI technologies, and to ensure that AI systems are safe and secure. To undertake the foregoing tasks, duties and responsibilities, the bill provides for the establishment of an agency to be known as the Artificial Intelligence Development Authority (AIDA) which will be responsible for the development and implementation of a national AI strategy."
Poland,Yes,No,"Law 317/2018 of Jan. 11,2018, on Electromobility and Alternative Fuels, art. 65K, https://perma.cc/W54G-3LNE (in Polish).","The law outlines the concept of an autonomous vehicle as a vehicle equipped with systems that manage its movement and allow it to operate without the need for driver involvement. It permits research on autonomous vehicles for transportation, provided that safety requirements are met and necessary permits are acquired."
Portugal,Yes,No,"Lei No.27/2021, de 17 de Maio, art. 9(1), https://perma.cc/9865-SCJJ.","The use of artificial intelligence must be guided by respect for fundamental rights, guaranteeing a fair balance between the principles of explicabilidade (clarity), security, transparency, and responsibility, taking into account the circumstances of each specific case and establishing procedures aimed at avoiding any prejudices and forms of discrimination."
Qatar,Yes,No,"Cabinet Resolution No.10 of 2021 on the establishment of the National Commission for Artificial Intelligence, al-Jaridah al-Rasmiyah (Official Gazette), vol. 11, Sept. 14, 2021, https://perma.cc/5F9S-Q5PY.","The resolution defines the mission, objectives, functions and structure of the National Commission for the Artificial Intelligence. The commission has the power to issue guidelines on the usage of artificial intelligence and prohibitions related to such usage."
Russian Federation,Yes,No,"Decree of the President No. 490, on the Development of Artificial Intelligence, Oct. 10, 2019, https://perma.cc/5HMW-GRXX (in Russian). Federal Law No. 123-FZ on Conducting an Experiment to Establish Special Regulation in Order to Create the Necessary Conditions for the Development and Implementation of Artificial Intelligence Technologies in the City of Moscow, and amending articles 6 and 10 of the Federal Law on Personal Data, adopted on Apr. 14, 2020, https://perma.cc/FK8R-4MCA (in Russian).","Prescribes measures for accelerated development of AI, conducting scientific research in the field of AI, increasing the availability of information and computing resources for users, and improving personnel training in this area. The law contains definitions for AI."
Saudi Arabia,Yes,No,"Cabinet Resolution No. 195, issued on 15/3/1444 Hijri corresponding to October 11, 2022, on the establishment of the Saudi Authority for Information and Artificial Intelligence, https://perma.cc/TA3F-DAYQ.","The resolution defines the mission, objectives, functions and structure of the Saudi Authority for Information and Artificial Intelligence. The authority has the power to issue guidelines on the usage of artificial intelligence and prohibitions related to such usage."
Serbia,Yes,No,"Decision of the Government of Serbia on Guidelines for the Development, Implementation, and Use of Reliable and Responsible AI, Mar. 23, 2023, Sl.Glasnik RS, br.23/2023, https://perma.cc/7GLU-88PT (in Serbian).",The guidelines set out a framework for activities within the AI ecosystem. The document outlines the general principles and conditions for harmonizing Serbia's legislative framework with the EU.
Slovak Republic,Yes,No,"Constitutional Court of the Slovak Republic PL. US25 / 2019-117 (eKasa case) in David Hardwick, Error 404-Match Not Found, Tax Enforcement and Law Enforcement in the EU Artificial Intelligence Act, in 1 Eucrim 56 (2023), https://perma.cc/3WX2-UPJ8.",The Constitutional Court ruled that the use of machine learning to enhance surveillance had reached a point where it necessitated a dedicated structure and customized measures to counteract the potential dangers of abuse.
South Korea,No,Yes,"Ten bills are pending at the National Assembly, https://perma.cc/RPD4-VD5W. The most recent one is the Artificial Intelligence Responsibility and Regulation Bill, Bill No. 2123709 (Aug. 8, 2023), https://perma.cc/MH5R-5RGQ (in Korean).",The most recent bill defines “prohibited artificial intelligence” and allows the development and use of low-risk artificial intelligence with conditions.
Spain,Yes,No,"Ley 15/2022, de 12 de julio, integral para la igualdad de trato y la no discriminacion, art. 23, https://perma.cc/78J8-WBMV.","Article 23 relates to the use of AI and automated decision-making mechanisms. It refers to the need for public administrations to implement mechanisms so that algorithms take into account bias minimization criteria, transparency, and accountability, and requires public administrations and companies to promote the use of ethical, reliable, and respectful AI with fundamental rights."
Sweden,Yes,No,"28 S Administrative Act (Forvaltningslagen (2017:900), https://perma.cc/QHZ4-L8JL (in Swedish).","The law allows government agency staff to use automated decision making. In addition, EU law applies."
Thailand,No,Yes,"The text of the Draft Artificial Intelligence Innovation Promotion Act is not available. See Radeemada Mungkarndee & Dharin Nantananate, Thailand's Draft Laws for the Regulation and Promotion of AI Products and Services, LEXEL (June 22, 2023), https://lexel.co.th/thailands-draft-laws-for-the-regulation-and-promotion-of-ai-products-and-services/.","The draft legislation would establish an AI sandbox, promote data sharing, and establish an AI standard certification system."
Taiwan,Yes,Yes,"Statute for Industrial Innovation (as amended Jan. 19,2023) art. 10-1, https://perma.cc/W6LT-QU4B (in Chinese), https://perma.cc/F8RL-LY5N (English translation); Act for the Development of Biotech and Pharmaceutical Industry (as amended Dec. 30, 2021) art. 4, https://perma.cc/6QFC-5CVC (in Chinese), htps:/ /perma.cc/27MC-GWPJ (English translation). Draft Basic AI Act (proposed by Hsu Yu-jen and 20 other Legislative Yuan members, May 15, 2019), https://perma.cc/V3E5-YUFW (in Chinese).","Regulations provide incentives to encourage and promote high-tech industries, which include AI as one of the technologies. Various drafts of Basic AI Act have been proposed by members of Legislative Yuan and other parties."
United Arab Emirates (UAE),Yes,No,"Decree No.32 of 2020, issued by the head of the Judicial Department of Abu Dhabi, concerning a guide to use artificial intelligence in legal services and judicial operations, al-Jaridah al-Rasmiyah (Official Gazette), vol. 11, Nov. 30, 2020, https://perma.cc/2VB9-KM6D.","The decree allows the usage of artificial intelligence in legal translation, research, arbitration, and making necessary decisions in judicial proceedings."
United Kingdom,Yes,Yes,"National Security and Investment Act 2021, c. 25, https://perma.cc/9VHY-B8UB, and the National Security and Investment Act 2021 (Notifiable Acquisition) (Specification of Qualifying Entities) Regulations 2021, SI 2021/1264, https://perma.cc/3TPH-Y6YK. Online Safety Bill, HL Bill 164, https://perma.cc/ZU5J-UPMC.","The National Security and Investment Act 2021 provides the government with the authority to intervene in acquisitions that could harm the national security of the UK, including companies that develop AI."
Uzbekistan,No,,"Artificial Intelligence (Regulation and Workers' Rights), Bill 309, 732 Parl. Deb. (5th ser.) (HC) 2023, https://perma.cc/BA46-E3QJ.","The Artificial Intelligence (Regulation and Workers' Rights) Bill was introduced as a private members' bill, which usually serves to highlight a topic and typically does not become a law. The proposed bill aims to regulate AI in the workplace, particularly with regard to worker and trade union rights."
Uzbekistan,No,,"Decree of the President on Measures to Create Conditions for the Accelerated Introduction of Artificial Intelligence Technologies, No. PP-4996, Feb.17,2021, https://perma.cc/25P8-D832 (in Russian).","The decree prescribes measures for all national science and research organizations, higher educational institutions, and organizations in the field of information technology to develop innovative products for management and automation of production processes based on artificial intelligence technologies."
Uzbekistan,No,,"Resolution of the Cabinet of Ministers No. 475, on the Organization of the Research Institute for the Development of Digital Technologies and Artificial Intelligence, July 31, 2021, https://perma.cc/PF38-Decree of the President on Measures to Implement H7X3 (in Uzbek).",The resolution provides for the carrying out of fundamental and applied scientific research in the field of artificial intelligence and the formation of a scientific ecosystem for the development of digital technologies.
