Relation,Formulated question example,%
AtLocation,"Where wouldInot want a fox?A.hen house,B.england,C.mountains,D....",47.3
Causes,"What is the hopeful result of going to seeaplay?A.being entertained,B.meet,C.sit,D..",17.3
CapableOf,"Why wouldaperson putfowers inaroom withdirtygymsocks?A.smell good,B.manycolors,C.continue togrow.,D..",9.4
Antonym,"Someone whohadaverybadflight mightbegivenatripinthistomakeupforit?A.frstlas,B.reputable,C.propitious,D.",8.5
HasSubevent,"How does aperson begin toatract another person for reproducing?A.kis,B.genetic mutation,C.have sex,D..",3.6
HasPrerequisite,"IfIamtiltingdrinktowardmyface,whatshouldIdobeforetheliquidspillsover?Aopenmouth,B.eatfirst,C.uselss,.",3.3 2.1
CausesDesire,"What do parents encourage kids to do when they experience boredom?A.read book,B.sleep,C.travel,D.",
Desires Partof,"What do allhumans want toexperience intheirownhome?A.feelcomfortable,B.work hard,C.fallinlove,D..",1.7 1.6
HasProperty,"What would someone wearto protect themselves from a cannon?A.body armor,B.tank,C.hat,D..",1.2
,"What is a reason to pay your television bill?A.legal,B.obsolete,C.entertaining,D..",
