Relation,Formulated question example,%
AtLocation,"Where would I not want a fox? A. hen house, B. england, C. mountains, D. ...",47.3
Causes,"What is the hopeful result of going to see a play? A. being entertained, B. meet, C. sit, D. ...",17.3
CapableOf,"Why would a person put flowers in a room with dirty gym socks? A. smell good, B. many colors, C. continue to grow , D. ...",9.4
Antonym,"Someone who had a very bad flight might be given a trip in this to make up for it? A. first class, B. reputable, C. propitious , D. ...",8.5
HasSubevent,"How does a person begin to attract another person for reproducing? A. kiss, B. genetic mutation, C. have sex , D. ...",3.6
HasPrerequisite,"If I am tilting a drink toward my face, what should I do before the liquid spills over? A. open mouth, B. eat first, C. use glass , D. ...",3.3
CausesDesire,"What do parents encourage kids to do when they experience boredom? A. read book, B. sleep, C. travel , D. ...",2.1
Desires,"What do all humans want to experience in their own home? A. feel comfortable, B. work hard, C. fall in love , D. ...",1.7
PartOf,"What would someone wear to protect themselves from a cannon? A. body armor, B. tank, C. hat , D. ...",1.6
HasProperty,"What is a reason to pay your television bill? A. legal, B. obsolete, C. entertaining , D. ...",1.2
