,Random split,Random split,Question concept split,Question concept split
Model,Accuracy,SANITY,Accuracy,SANITY
VECSIM+NUMBERBATCH,29.1,54.0,30.3,54.9
LM1B-REP,26.1,39.6,26.0,39.1
LM1B-CONCAT,25.3,37.4,25.3,35.2
VECSIM+GLOVE,22.3,26.8,20.8,27.1
BERT-LARGE,55.9,92.3,63.6,93.2
GPT,45.5,87.2,55.5,88.9
ESIM+ELMO,34.1,76.9,37.9,77.8
ESIM+GLOVE,32.8,79.1,40.4,78.2
QABILINEAR+GLOVE,31.5,74.8,34.2,71.8
ESIM+NUMBERBATCH,30.1,74.6,31.2,75.1
QABILINEAR+NUMBERBATCH,28.8,73.3,32.0,71.6
QACOMPARE+GLOVE,25.7,69.2,34.1,71.3
QACOMPARE+NUMBERBATCH,20.4,60.6,25.2,66.8
BIDAF++,32.0,71.0,38.4,72.0
HUMAN,88.9,,,
