Series A Preferred Stock Shares,Series A Preferred Stock Value,Common Stock Shares,Common Stock Value,Additional Paid-in Capital,Accumulated Other Comprehensive Loss,Accumulated Deficit,Noncontrolling Interests,Total Stockholders' Equity (Deficit)
"Balance, December 31, 2018",1,$1,332,260,644,$332,260,"46,771,464,$(566,105),$(49,181,331),1,369,081,$(1,274,630)"
Issuance of common stock in connection with sales made under private offerings,--,$235,584,906,$235,585,$(112,"085),--,--,--,123,500"
Issuance of common stock in connection with the exercise of common stock options,--,$61,000,000,$61,000,$(60,"590),--,--,--,410"
"Issuance of common stock in exchange for consulting, professional and other services",--,$1,787,041,$1,787,$2,"540,--,--,5,000,9,327"
Issuance of common stock options in lieu of cash for extinguishment of convertible notes with related party,--,$269,934,--,--,--,--,"--,269,934"
Conversion of convertible debenture(s) and other indebtedness into common stock,--,$501,802,789,$501,803,$(273,"205),--,--,--,228,598"
Recognition of beneficial conversion features related to convertible debentures,--,$599,355,--,--,--,--,"--,599,355"
Stock based compensation,--,$166,095,--,--,--,--,"--,166,095"
Change in foreign currency translation,--,$(14,852),--,--,--,--,"--,$(14,852)"
Sale of Jupiter Gold common stock in connection with equity offerings,--,$260,689,--,--,--,--,"260,689,260,689"
Issuance of common stock purchase warrants in connection with sales of Jupiter Gold common stock,--,$361,062,--,--,--,--,"35,749,396,811"
Net loss,--,$(1,862,077),--,$(223,804),"--,$(2,085,881),--,--,--"
"Balance, December 31, 2019",1,$1,1,132,435,380,$1,"132,435,47,724,570,$(580,957),$(51,043,408),1,446,715,$(1,320,644)"
Issuance of common stock in connection with sales made under private offerings,--,$420,000,000,$420,000,$(100,"000),--,--,--,320,000"
Issuance of common stock in connection with the exercise of common stock options,--,$161,636,427,$161,636,$(161,"636),--,--,--,--"
"Issuance of common stock in exchange for consulting, professional and other services",--,$32,565,515,$32,566,$11,"092,--,--,--,43,658"
Issuance of common stock in connection with share exchange agreement with related party,--,$53,947,368,$53,947,$22,"979,--,--,--,76,926"
Issuance of common stock to related parties in lieu of cash for loans payable and other accrued obligations,--,$200,000,$200,$80,--,--,"--,280"
Conversion of convertible debenture(s) and other indebtedness into common stock,--,$397,145,607,$397,146,$(232,"326),--,--,--,164,820"
Exchange of common stock for Jupiter Gold common stock,--,$(200,000,000),$$(200,000),$100,"000,--,--,100,000,--"
Stock based compensation,--,$124,357,--,--,--,--,"--,124,357"
Change in foreign currency translation,--,$(194,156),--,--,--,--,"59,242,$(134,914)"
Sale of Jupiter Gold common stock in connection with equity offerings,--,$525,000,--,--,--,--,"525,000,525,000"
Sale of Apollo Resources common stock in connection with equity offerings,--,$250,300,--,--,--,--,"250,300,250,300"
Net loss,--,$(1,141,663),--,$(404,372),"--,$(1,546,035),--,--,--"
"Balance, December 31, 2020",1,$1,1,997,930,297,$1,"997,930,47,489,116,$(775,113),$(52,185,071),1,976,885,$(1,496,252)"
