Name and Address (1),Office,Shares Beneficially Owned (2)(3),Percent of Class (3)
Common Stock,,,Company Stock (4)
Marc Fogassa,"Director, Chairman, Chief Executive","323,739,052",12.70% 6.22%
Treasurer,"Officer, Chief Financial Officer, and",,
Ambassador Roger Noriega Director,,"113,269,436",4.34% 2.12%
Brian Bernier,,,1.15%
,"Vice-President, Business Development and Investor Relations","28,685,962",0.56%
"Joel Monteiro, Esq.","Vice-President, Administration and","7,776,033",0.31% 0.15%
,Operations,,
Areli Nogueira,"Vice-President, Mineral Exploration","2,250,343",0.09% 0.04%
All executive officers and directors as a,,"475,720,826",17.80% 8.72%
group (4 people),,,
Series A Stock,,,
Marc Fogassa Director,,,100.00% 51.00%
All executive officers and directors as a,,1,100.00%
,,,51.00%
group (4 people),,,
