Name and Address,Office,Shares Beneficially Owned,Percent of Class
Common Stock,,,Company Stock
Marc Fogassa,"Director, Chairman, Chief Executive Officer, Chief Financial Officer, and Treasurer","323,739,052","12.70%,6.22%"
Ambassador Roger Noriega,Director,"113,269,436","4.34%,2.12%"
Brian Bernier,"Vice-President, Business Development and Investor Relations","28,685,962","1.15%,0.56%"
"Joel Monteiro, Esq.","Vice-President, Administration and Operations","7,776,033","0.31%,0.15%"
Areli Nogueira,"Vice-President, Mineral Exploration","2,250,343","0.09%,0.04%"
All executive officers and directors as a group (4 people),,"475,720,826","17.80%,8.72%"
Series A Stock,,,
Marc Fogassa,Director,1,"100.00%,51.00%"
All executive officers and directors as a group (4 people),,1,"100.00%,51.00%"
