Mineral(s),Location in Brazil,Total Area(acres）,Status
Lithium,Minas Gerais,"57,855",Research Exploration
Lithium,"Rio Grandedo Norte, Paraiba","23,079",Research Exploration
Total-Lithium,,"80,934",
Rare Earths,"Goias,Tocantins","15,810",Research Exploration
Rare Earths,Bahia,"24,162",Research Exploration
Total-RareEarths,,39.972,
Nickel/Cobalt,Goias,9.553,Research Exploration
Titanium,Minas Gerais,"13,810",Research Exploration
Diamond,Minas Gerais,"21,871",Pre-Mining
Sand,Minas Gerais,"23,363",Commercial Mining
