ExhibitNumber Description,ExhibitNumber Description,ExhibitNumber Description
3.1,"ArticlesofIncorporationoftheCompanfiledwiththeSecretaryofStateof NevadaonDecember15,2011.Incorporatedbyeference","ArticlesofIncorporationoftheCompanfiledwiththeSecretaryofStateof NevadaonDecember15,2011.Incorporatedbyeference"
3.1,"to Exhibit 3.1 to the Registration Statement on Form S-1 filed by_the Company_on April 6,2012.","to Exhibit 3.1 to the Registration Statement on Form S-1 filed by_the Company_on April 6,2012."
3.2,Certificate of Amendmentthe Articlesof InorporationoftheCompanyfiled withtheSecretaryof State of theStateof Nevada on,Certificate of Amendmentthe Articlesof InorporationoftheCompanyfiled withtheSecretaryof State of theStateof Nevada on
3.2,"December 18,2012.IncoporatedbyreferencetoExhibit3.1totheCompany's CurrentReportonForm8-Kfiled withthe Commission","December 18,2012.IncoporatedbyreferencetoExhibit3.1totheCompany's CurrentReportonForm8-Kfiled withthe Commission"
,"on December 26,2012.","on December 26,2012."
3.3,Certificate ofDesignatinsPreferencesandRightsofSeriesAConvertblePreferedStocfiled withtheSecretaryofStateof teState,Certificate ofDesignatinsPreferencesandRightsofSeriesAConvertblePreferedStocfiled withtheSecretaryofStateof teState
3.3,"ofNevadaonDecember18,2012.IncorporatedbyreferencetoCompany'sCurrent ReportonFor8-Kfiled withtheComionon","ofNevadaonDecember18,2012.IncorporatedbyreferencetoCompany'sCurrent ReportonFor8-Kfiled withtheComionon"
,"December 26,2012.","December 26,2012."
3.4,Certificate of Amendmenttothe ArticlesofIncorporationoftheCompanyfied withtheSecretaryof Stateof the State of Nevada on,Certificate of Amendmenttothe ArticlesofIncorporationoftheCompanyfied withtheSecretaryof Stateof the State of Nevada on
,"December 24,2012.IncoporatedbyreferencetoExhibit3.1totheCompany's CurrentReportonForm8-Kfiled withthe Commission","December 24,2012.IncoporatedbyreferencetoExhibit3.1totheCompany's CurrentReportonForm8-Kfiled withthe Commission"
,"on January_28, 2013.","on January_28, 2013."
3.9,AmendedandRestatedBy-lwsof the Company.IcorporatedbyreferencetoExhibit3.1 totheCompany'sCurentReportonForm8-,AmendedandRestatedBy-lwsof the Company.IcorporatedbyreferencetoExhibit3.1 totheCompany'sCurentReportonForm8-
3.9,"K filed with the Commission on December 11,2015.","K filed with the Commission on December 11,2015."
3.10,Certificateof Amendment tothe Articles of IncorporationoftheCompanyfiled withtheSecretaryof Stateof the State of Nevada on,Certificateof Amendment tothe Articles of IncorporationoftheCompanyfiled withtheSecretaryof Stateof the State of Nevada on
,"August 27,2019.IncorporatedbyreferencetoExhibit3.11totheCompany'sAnualReportonFor10-Kfied withtheCoion","August 27,2019.IncorporatedbyreferencetoExhibit3.11totheCompany'sAnualReportonFor10-Kfied withtheCoion"
,"on April 14,2020.","on April 14,2020."
3.11,Certificate of Amendmenttothe ArticlesofIncorporationoftheCompanyfied withtheSecretaryof Stateof te State of Nevada on,Certificate of Amendmenttothe ArticlesofIncorporationoftheCompanyfied withtheSecretaryof Stateof te State of Nevada on
3.11,"July_16,2020.*","July_16,2020.*"
4.1,"SeniorSecuredConvertiblePromissryNoteof teCompanydatedJauary8,2014intheprincipalamountofS2440totherderof","SeniorSecuredConvertiblePromissryNoteof teCompanydatedJauary8,2014intheprincipalamountofS2440totherderof"
4.1,Heather U.BainesandLloyd McAdams ABLivingTrustdated8/1/21.Icorporatedbyreference toExhibit4.4 to the20130-K/A-1.,Heather U.BainesandLloyd McAdams ABLivingTrustdated8/1/21.Icorporatedbyreference toExhibit4.4 to the20130-K/A-1.
4.2,"Warant to Purchase 48,0o0 Shares of the Company'sCommon Stock Isued to Heather U. Baines and Lloyd McAdams AB LivingTrust dated 8/1/2001on January_8,2014. Incorporated by_reference to Exhibit 4.8 to the 2013 10K/A-1.","Warant to Purchase 48,0o0 Shares of the Company'sCommon Stock Isued to Heather U. Baines and Lloyd McAdams AB LivingTrust dated 8/1/2001on January_8,2014. Incorporated by_reference to Exhibit 4.8 to the 2013 10K/A-1."
4.3,"Formof ConvertibleRedeemable Promissryfromthe CompanytoGW Holdings Group,LLC. IncorporatedbyreferencetoExhibit","Formof ConvertibleRedeemable Promissryfromthe CompanytoGW Holdings Group,LLC. IncorporatedbyreferencetoExhibit"
10.1,Employment Agreement between theCompanyand MarcFogass.Icorporatedbyreference toExhibit 10.6tothe Annual Reporton,Employment Agreement between theCompanyand MarcFogass.Icorporatedbyreference toExhibit 10.6tothe Annual Reporton
,"Form 10-K for the fiscal year ended December 31,2012.","Form 10-K for the fiscal year ended December 31,2012."
10.2,"Stock Purchase and Sale Agreement datedasofJuly27,2016between theCompanyand Jupiter GoldCorporation(Jupiter Gold"").","Stock Purchase and Sale Agreement datedasofJuly27,2016between theCompanyand Jupiter GoldCorporation(Jupiter Gold"")."
,"IncorporatedbyreferencetoExhibit 10.1tothe JupiterGold's Registration StatementonFormF-1filed with theCommissiononDecember 1,2016.","IncorporatedbyreferencetoExhibit 10.1tothe JupiterGold's Registration StatementonFormF-1filed with theCommissiononDecember 1,2016."
,"IncorporatedbyreferencetoExhibit 10.1tothe JupiterGold's Registration StatementonFormF-1filed with theCommissiononDecember 1,2016.","IncorporatedbyreferencetoExhibit 10.1tothe JupiterGold's Registration StatementonFormF-1filed with theCommissiononDecember 1,2016."
10.8,"2017 Stock Incentive Plan.Incorporated byreference toExhibit4.1ofthe Registration Statement on Form S-8filed withtheCommission on December 8,2017.","2017 Stock Incentive Plan.Incorporated byreference toExhibit4.1ofthe Registration Statement on Form S-8filed withtheCommission on December 8,2017."
21.1,Subsidiaries of the Company.*,Subsidiaries of the Company.*
31.1,"Certificationof theChief Executive OfficerpursuanttoSection15d-14(a)ofthe Securities ExchangeAct of 1934,asamended,asadopted pursuant to Section 302 of the Sarbanes-Oxley_Act of 2002.*","Certificationof theChief Executive OfficerpursuanttoSection15d-14(a)ofthe Securities ExchangeAct of 1934,asamended,asadopted pursuant to Section 302 of the Sarbanes-Oxley_Act of 2002.*"
