PART I,Business,Risk Factors,Unresolved Staff Comments,Properties,Legal Proceedings,Mine Safety Disclosures
Item 1.,3,,,9,17,17
Item 1A.,Z,7,,,,
Item 1B.,,,9,,,
Item 2.,,,,9,,
Item 3.,,,,,17,17
Item 4.,,,,,,
PART II,"Market for Registrant’s Common Equity, Related Stockholder Matters and Issuer Purchases of Equity Securities",Selected Financial Data,Management’s Discussion and Analysis of Financial Condition and Results of Operations,Quantitative and Qualitative Disclosures About Market Risk,Financial Statements and Supplementary Data,"Changes in and Disagreements With Accountants on Accounting and Financial Disclosure,Controls and Procedures,Other Information"
Item 5.,18,19,19,28,28,"28,28,28"
Item 6.,,,,,,
Item 7.,,,28,,,
Item 7A.,,,,28,,
Item 8.,,,,,,
Item 9.,,,,,28,28
Item 9A.,,,,,,28
Item 9B.,,,,,,28
PART III,"Directors, Executive Officers and Corporate Governance",Executive Compensation,Security Ownership of Certain Beneficial Owners and Management and Related Stockholder Matters,"Certain Relationships and Related Transactions, and Director Independence",Principal Accounting Fees and Services,
Item 10.,,29,,31,,
Item 11.,,,,,,32
Item 12.,,,,,,33
Item 13.,,,,,,
Item 14.,,,,,,
PART IV,"Exhibits, Financial Statement Schedules",Form 10-K Summary,,,,
Item 15.,,,,,,34
Item 16.,,,,,,",35,"
SIGNATURES,,,,,,
FINANCIAL STATEMENTS,,,,,,1
