Years ended December 31,,2020,2019,Increase/(decrease),NUMERATOR:
Operating income,"$7,324.0","$9,069.8","$(1,745.8)",,
Depreciation and amortization,"1,751.4","1,617.9",133.5,,
Currency translation(1),,,(25.8),,
Change in operating income plus depreciation and amortization (at constant foreign exchange rates),,,"$(1,638.1)",,
DENOMINATOR:,,,,,
Weighted-average cash used for investing activities(2),,,"$2,357.9",,
Currency translation(1),,,18.2,,
Weighted-average cash used for investing activities (at constant foreign exchange rates),,,"$2,376.1",,
One-year ROIIC,,,(68.9)%,,
