Dollars in millions,Amount,2020,2019,2018,Increase/(decrease) excluding currency translation,2020,2019
Franchised:,U.S.,"$4,097","$4,227","$4,070",(3%),4%,4%
Franchised:,International Operated Markets,"$3,329","$4,018","$3,829",(17),5%,10%
Franchised:,International Developmental Licensed Markets & Corporate,"$1,093","$1,210","$1,140",(10),6%,11%
Franchised:,Total,"$8,519","$9,455","$9,039",(10%),5%,7%
Company-operated:,U.S.,$405,$388,$397,4%,2%,"4%,-2%"
Company-operated:,International Operated Markets,$748,"$1,266","$1,327",(41),5%,1%
Company-operated:,International Developmental Licensed Markets & Corporate,n/m,n/m,n/m,n/m,n/m,"n/m,n/m"
Company-operated:,Total,"$1,158","$1,660","$1,747",(30%),5%,2%
Total restaurant margins:,U.S.,"$4,502","$4,615","$4,467",(2%),3%,2%
Total restaurant margins:,International Operated Markets,"$4,077","$5,284","$5,156",(23),2%,7%
Total restaurant margins:,International Developmental Licensed Markets & Corporate,n/m,n/m,n/m,n/m,n/m,n/m
Total restaurant margins:,Total,"$9,677","$11,115","$10,786",(13%),3%,6%
