Cash used for financing activities\t2,249\t4,995\t5,950\t5,311\t11,262
tsv,,,,,
"Years ended December 31,",2020,2019,2018,2017,2016
"In millions, except per share and unit amounts",,,,,
Consolidated Statement of Income Data,,,,,
Revenues,,,,,
Sales by Company-operated restaurants,"$8,139","$9,421","$10,013","$12,719","$15,295"
Revenues from franchised restaurants,"10,726","11,656","11,012","10,101","9,327"
Other revenues(i),343,288,233,140,151
Total revenues,"19,208","21,365","21,258","22,960","24,773"
Operating income,"7,324","9,070","8,823","9,553","7,745"
Net income,"4,731","6,025","5,924","5,192","4,687"
Consolidated Statement of Cash Flows Data,,,,,
Cash provided by operations,"$6,265","$8,122","$6,967","$5,551","$6,060"
Cash used for (provided by) investing activities,"1,546","3,071","2,455",(562),982
Capital expenditures,"1,641","2,394","2,742","1,854","1,821"
Cash used for financing activities,"2,249","4,995","5,950","5,311","11,262"
Treasury stock purchases(2),874,"4,980","5,247","4,651","11,142"
Common stock dividends,"3,753","3,582","3,256","3,089","3,058"
Treasury stock purchases\t874\t4,980\t5,247\t4,651\t11,142,
Common stock dividends\t3,753\t3,582\t3,256\t3,089\t3,058
Total assets\t$52,627\t$47,511\t$32,811\t$33,804\t$31,024
Total debt\t37,440\t34,177\t31,075\t29,536\t25,956
Total shareholders' equity (deficit)\t(7,825)\t(8,210)\t(6,258)\t(3,268)\t(2,204)
Shares outstanding\t745\t746\t767\t794\t819,,,,,
Earnings-diluted\t$6.31\t$7.88\t$7.54\t$6.37\t$5.44,,,,,
Dividends declared\t5.04\t4.73\t4.19\t3.83\t3.61,,,,,
Market price at year end\t214.58\t197.61\t177.57\t172.12\t121.72,,,,,
Company-operated restaurants\t2,677\t2,636\t2,770\t3,133\t5,669
Franchised restaurants\t36,521\t36,059\t35,085\t34,108\t31,230
Total Systemwide restaurants\t39,198\t38,695\t37,855\t37,241\t36,899
Franchised sales\t$85,178\t$90,757\t$86,134\t$78,191\t$69,707
