Derivative Assets,,,,Derivative Liabilities,Derivative Liabilities,Derivative Liabilities
In millions,Balance Sheet Classification,2020,2019,Balance Sheet Classification,2020,2019 .
Derivatives designated as hedging instruments,Derivatives designated as hedging instruments,Derivatives designated as hedging instruments,Derivatives designated as hedging instruments,Derivatives designated as hedging instruments,Derivatives designated as hedging instruments,Derivatives designated as hedging instruments
,Foreign currency Prepaid expenses and other current assets,,,$10.0Accrued payroll and otherliabiities,$ (64.5),$ (5.2)
Interest rate,Prepaid expenses and other current assets,,,Accrued payroll and other liabilities,,1
Foreign currency,Miscellaneous other assets,$ 5.6,9.5,Other long-term liabilities,(15.0),(1.2)
Interest rate,Miscellaneous other assets,35.8,12.1,Other long-term liabilities,,丨 .·
Total derivatives designated as hedging instruments,Total derivatives designated as hedging instruments,Total derivatives designated as hedging instruments,Total derivatives designated as hedging instruments,Total derivatives designated as hedging instruments,Total derivatives designated as hedging instruments,Total derivatives designated as hedging instruments
,Derivatives not designated as hedging instruments,$185.6,,Accrued payroll and other liabilities,(8.6),
Equity Prepaid expenses and other current assets,Equity Prepaid expenses and other current assets,Equity Prepaid expenses and other current assets,Equity Prepaid expenses and other current assets,Equity Prepaid expenses and other current assets,Equity Prepaid expenses and other current assets,Equity Prepaid expenses and other current assets
Foreign currency,Prepaid expenses and other current assets,$,1.6 12.4,Accrued payroll and other liabilities,(9.4),(4.8)
Equity,Miscellaneous other assets,,179.1,,,
Total derivatives not designated as hedging instruments,Total derivatives not designated as hedging instruments,Total derivatives not designated as hedging instruments,Total derivatives not designated as hedging instruments,Total derivatives not designated as hedging instruments,Total derivatives not designated as hedging instruments,Total derivatives not designated as hedging instruments
Total derivatives,,$185.6 $227.0,$193.1 $224.7,,$ (18.0) $ (97.5) $ (11.3),$ (4.9)
