5-Year Summary,"Years ended December 31,","Years ended December 31,","Years ended December 31,","Years ended December 31,","Years ended December 31,","Years ended December 31,"
"In millions,except per share and unit amounts",2020,2019,,2018,2017,2016
Consolidated Statement of Income Data,,,,,,
Revenues,,"9,421","$ 10,013",$,"12,719 $","15,295"
Sales by Company-operated restaurants,,,,,,
$ Revenues from franchised restaurants,"8,139 $ 10,726","11,656",,"11,012","10,101","9,327"
Other revenues(1),"343 19,208","21,365",288,"233 21,258","140 22,960","151 24,773"
Total revenues,,,,,,
Operating income,"7,324","9,070","8,823",,"9,553","7,745"
Net income,"4,731",,"6,025","5,924","5,192","4,687"
Consolidated Statement of Cash Flows Data,,,,,,
Cash provided by operations $,"6,265 $","8,122 $",,"6,967 $","5,551","$ 6,060"
Cash used for (provided by) investing activities,"1,546",,"3,071","2,455",(562),982
Capital expenditures,"1,641",,"2,394","2,742","1,854","1,821"
Cash used for financing activities,"2,249",,"4,995","5,950","5,311","11,262"
Treasury stock purchases(2),874,,"4,980","5,247","4,651","11,142"
Common stock dividends,"3,753",,"3,582","3,256","3,089","3,058"
Financial Position $,,,,,,
Total assets(3),"52,627 $","47,511",$,"32,811 $",33.804 $,"31,024"
Total debt,"37,440",,"34,177","31,075","29,536","25,956"
Total shareholders'equity (deficit),"(7,825)",,"(8,210)","(6,258)","(3,268)","(2,204)"
Shares outstanding,745,,746,767,794,819
Per Common Share Data,,,,,,
Earnings-diluted $,6.31 $,7.88,$ 7.54,$,6.37 $,5.44
Dividends declared,5.04,,4.73,4.19,3.83,3.61
Market price at year end,214.58,197.61,,177.57,172.12,121.72
Restaurant Information and Other Data,,,,,,
Restaurants at year end,,,,,,
Company-operated restaurants Franchised restaurants,"2,677 36,521",,"2,636 36,059","2,770 35,085","3,133 34,108","5,669"
Total Systemwide restaurants,"39,198",,"38,695","37,855","37,241","31,230 36,899"
Franchised sales(4) $,"85,178",$,"90,757 $","86,134","$ 78,191","$ 69,707"
