Dollars and shares in millions, except per share data,Amount,Increase/(decrease),Amount,Increase/(decrease),Amount
Revenues,Sales by Company-operated restaurants,"$ 8,139",(14%),"$ 9,421",(6%),"$10,013"
Revenues from franchised restaurants,10,726,(8),11,656,"6,11,012"
Other revenues,343,19,288,24,233,
Total revenues,19,208,(10),21,365,"1,21,258"
Operating costs and expenses,Company-operated restaurant expenses,6,981,(10),7,"761,(6),8,266"
Franchised restaurants-occupancy expenses,2,208,0,2,201,"12,1,973"
Other restaurant expenses,267,19,224,20,186,
Selling, general & administrative expenses,Depreciation and amortization,301,14,262,"22,215"
Other,2,245,14,1,967,"(-1),1,985"
Other operating (income) expense, net,(-118),2,(-120),37,(-190)
Total operating costs and expenses,11,884,(3),12,295,"(1),12,435"
Operating income,7,324,(19),9,070,"3,8,823"
Interest expense,1,218,9,1,122,"14,981"
Nonoperating (income) expense, net,(-35),50,(-70),n/m,26
Income before provision for income taxes,6,141,(23),8,018,"3,7,816"
Provision for income taxes,1,410,(29),1,993,"5,1,892"
Net income,"$ 4,731",(21%),"$ 6,025",2%,"$ 5,924",
Earnings per common share—diluted,$ 6.31,(20%),$ 7.88,5%,$ 7.54,
Weighted-average common shares outstanding—diluted,750.1,(2%),764.9,(-3%),785.6,
