Location of Gain or Loss Recognized in Income on Derivative,,Gain (Loss) Recognized in AOCI,2020,2019,Gain (Loss) Reclassified into Income from AOCI,2020,2019,Gain (Loss) Recognized in Income on Derivative
In millions,,,,,,,,
Foreign currency,Nonoperating income/expense,$ (76.6),$ 22.5,$ (2.1),$ 50.3,,,
Interest rate,Interest expense,$ (90.8),,,$ (5.4),"""$ (1.3),""",,
Cash flow hedges,,$ (167.4),$ 22.5,$ (7.5),$ 49.0,,,
Foreign currency denominated debt,Nonoperating income/expense,$ (989.7),$ 317.3,$ 33.7,,,,
Foreign currency derivatives,Nonoperating income/expense,$ (12.3),,,$ 11.8,,,
Foreign currency derivatives(1),Interest expense,,$ 14.7,,$ 11.7,,,
Net investment hedges,,"$ (1,002.0)",$ 329.1,$ 33.7,$ 14.7,$ 11.7,"""""",
Foreign currency,Nonoperating income/expense,,$ (29.0),,$ 14.2,,,
Equity,"Selling, general & administrative expenses",,,,,,,$ 44.4
Equity,"Other operating income/ expense, net",,,,,,,-$ 16.0
Undesignated derivatives,,$ (0.6),,,$ 86.0,,,
