Dollars in millions,2020,2019,2018,2020,2019,2020,2019
Company-operated sales:,U.S.,"$ 2,395","$ 2,490","$ 2,665",(4%),(7%),"(4%),(7%)"
International Operated Markets,"5,114","6,334","6,668",(19%),(5%),(18%),(1%)
International Developmental Licensed Markets & Corporate,630,597,680,6%,(12%),7%,(7%)
Total,"$ 8,139","$ 9,421","$10,013",(14%),(6%),(12%),(3%)
Franchised revenues:,U.S.,"$ 5,261","$ 5,353","$ 5,001",(2%),7%,"(2%),7%"
International Operated Markets,"4,348","5,064","4,839",(14%),5%,(15%),10%
International Developmental Licensed Markets & Corporate,"1,117","1,239","1,172",(10%),6%,(8%),10%
Total,"$10,726","$11,656","$11,012",(8%),6%,(8%),9%
Total Company-operated sales and Franchised revenues:,U.S.,"$ 7,656","$ 7,843","$ 7,666",(2%),2%,"(2%),2%"
International Operated Markets,"9,462","11,398","11,507",(17%),(1%),(17%),4%
International Developmental Licensed Markets & Corporate,"1,747","1,836","1,852",(5%),(1%),(3%),4%
Total,"$18,865","$21,077","$21,025",(10%),0%,(10%),3%
Total Other revenues,$ 343,$ 288,$ 233,19%,24%,19%,25%
Total Revenues,"$19,208","$21,365","$21,258",(10%),1%,(10%),3%
