In millions,2020,2019,2018
U.S.,"$ 7,828.5","$ 8,002.8","$ 7,798.7"
International Operated Markets,"9,570.7","11,480.1","11,578.1"
International Developmental Licensed Markets & Corporate,"1,808.6","1,881.5","1,881.1"
Total revenues,"$ 19,207.8","$ 21,364.4","$ 21,257.9"
U.S.,"$ 3,789.1","$ 4,068.7","$ 4,015.6"
International Operated Markets,"3,315.1","4,789.0","4,643.2"
International Developmental Licensed Markets & Corporate,219.8,212.1,163.8
Total operating income,"$ 7,324.0","$ 9,069.8","$ 8,822.6"
U.S.,"$ 21,010.0","$ 21,376.9","$ 14,483.8"
International Operated Markets,"24,744.0","22,847.5","17,302.3"
International Developmental Licensed Markets & Corporate,"6,872.8","3,286.4","1,025.1"
Total assets *,"$ 52,626.8","$ 47,510.8","$ 32,811.2"
U.S.,$ 890.4,"$ 1,480.5","$ 1,849.8"
International Operated Markets,731.5,886.6,762.4
International Developmental Licensed Markets & Corporate,18.9,26.6,129.5
Total capital expenditures,"$ 1,640.8","$ 2,393.7","$ 2,741.7"
U.S.,$ 813.8,$ 730.2,$ 598.4
International Operated Markets,678.5,669.3,703.9
International Developmental Licensed Markets & Corporate,259.1,218.4,179.7
Total depreciation and amortization,"$ 1,751.4","$ 1,617.9","$ 1,482.0"
