,Maturity dates,Interest rates(1) December31,Interest rates(1) December31,Amounts outstanding December31,
,Maturity dates,2020,2019,Amounts outstanding December31,
In millions of U.S. Dollars Fixed,In millions of U.S. Dollars Fixed,3.9 %,4.0 %,"2020 $22,734.5","2019 $19,340.2"
Floating,,0.9,2.2,"1,150.0","2,049.3"
Total U.S. Dollar 2021-2050,Total U.S. Dollar 2021-2050,,,"23,884.5","21,389.5"
Fixed,,1.5,1.5,"9,453.9","8,671.8"
Floating,Floating,2.1,2.3,366.5,337.0
Total Euro,2021-2031,,.,"9,820.4","9,008.8"
Fixed,Fixed,3.4,3.4,845.1,771.0
Floating,,1.2,2.0,230.8,210.6
Total Australian Dollar,2024-2029,,,"1,075.9",981.6
Total British Pounds Sterling - Fixed,2032-2054,4.2,4.6,"1,156.4","1,386.3"
Total Canadian Dollar-Fixed,2021-2025,3.1,3.1,784.9,768.6
Total Japanese Yen-Fixed,2030,2.9,2.9,. 121.1,115.1
Fixed,,0.2,0.2,451.9,413.8
Floating,Floating,1.9,2.2,265.7,241.8
Total other currencies(2),Total other currencies(2),2021-2024,,717.6,655.6
Debt obligations before fair value adjustments and deferred debt costs(3,Debt obligations before fair value adjustments and deferred debt costs(3,Debt obligations before fair value adjustments and deferred debt costs(3,Debt obligations before fair value adjustments and deferred debt costs(3,"37,560.8","34,305.5"
Fair value adjustments(4),Fair value adjustments(4),Fair value adjustments(4),Fair value adjustments(4),35.8 (156.2),12.1 (140.4)
Deferred debt costs,Deferred debt costs,Deferred debt costs,Deferred debt costs,Deferred debt costs,
Total debt obligations,Total debt obligations,Total debt obligations,Total debt obligations,"$37,440.4","$34,177.2"
