"Years ended December 31,","Years ended December 31,",Increase/ 2017 (decrease),Increase/ 2017 (decrease)
NUMERATOR:,2020,,
,,,"$(2,228.7)"
Operating income,"$7,324.0","$9,552.7",388.0
Depreciation and amortization Currency translation(1),"1,751.4","1,363.4",
,,,179.6
Change in operating income_plus depreciation and amortization (at constant foreign exchange rates),,,"$(1,661.1)"
DENOMINATOR:,,,
Weighted-average cash used for,,,
investing activities(2),,,"$ 6,205.7"
Currency translation(1),,,9.4
Weighted-average cash used for investing activities,,,
(at constant foreign exchange rates),,,
,,,"$ 6,215.1"
Three-yearROIIC,,,
